District,AffordabilityScore,ConnectivityScore,SafetyScore,QualityScore,CompositeScore
LEEDS,9.666246313234927,5.78196026754914,8.79326606634049,6.056401121997901,7.992824016471477
BRADFORD,9.798333748578914,5.578702438553404,8.622414442509614,6.103136953706215,7.980184266385413
KIRKLEES,9.769698058384165,5.25068405616452,8.915794091232753,6.044984660530879,7.950171784939297
