URN,SCHNAME,ATT8SCR
135814,Ingfield Manor School,SUPP
135930,LVS Hassocks,SUPP
131139,Manor House School,SUPP
135111,My Choice School Arundel,SUPP
126141,Philpots Manor School,SUPP
126160,"Queen Elizabeth II Silver Jubilee School, Horsham",SUPP
149217,Red Balloon Worthing Learner Centre,SUPP
135691,Seadown School,SUPP
149160,Serenity School Crawley,SUPP
135180,Springboard Education,SUPP
140277,Friars Academy,NE
148756,Refocus,NE
149665,Stone Lodge Therapeutic School,SUPP
144684,Wren Spinney Community School,NE
144377,Youth Works Community College,SUPP
131802,Cambian Northampton School,SUPP
122136,Cambian Potterspury Lodge School,SUPP
142783,Daventry Hill School,NE
141726,Greenfields Specialist School for Communication,NE
122150,Overstone Park School,SUPP
135785,St Andrew's College,SUPP
146250,James Rennie School,NE
112464,Mayfield School,NE
135555,Progress Schools - Carlisle,SUPP
148796,Cairn Education CIC,SUPP
134781,Cambian Whinfell School,SUPP
141993,George Hastwell School Special Academy,NE
145465,Moorfield Learning Centre,SUPP
112465,Sandgate School,NE
112466,Sandside Lodge School,NE
147237,South Lakes Academy,SUPP
145402,SwitchED2,NE
