postcode,Average download speed (Mbit/s),District,County,TownCity
BD100AA,39.7,BRADFORD,West Yorkshire,BRADFORD
BD100AE,28,BRADFORD,West Yorkshire,BRADFORD
BD100AF,91.9,BRADFORD,West Yorkshire,BRADFORD
BD100AG,11.9,BRADFORD,West Yorkshire,BRADFORD
BD100AH,32,BRADFORD,West Yorkshire,BRADFORD
BD100AJ,69.2,BRADFORD,West Yorkshire,BRADFORD
BD100AL,73,BRADFORD,West Yorkshire,BRADFORD
BD100AN,53.3,BRADFORD,West Yorkshire,BRADFORD
BD100AP,23.5,BRADFORD,West Yorkshire,BRADFORD
BD100AQ,65.4,BRADFORD,West Yorkshire,BRADFORD
BD100AT,60.2,BRADFORD,West Yorkshire,BRADFORD
BD100AU,81.8,BRADFORD,West Yorkshire,BRADFORD
BD100AW,66.4,BRADFORD,West Yorkshire,BRADFORD
BD100AX,75,BRADFORD,West Yorkshire,BRADFORD
BD100BA,19.4,BRADFORD,West Yorkshire,BRADFORD
BD100BB,46.4,BRADFORD,West Yorkshire,BRADFORD
BD100BD,61.7,BRADFORD,West Yorkshire,BRADFORD
BD100BE,60.2,BRADFORD,West Yorkshire,BRADFORD
BD100BL,82.8,BRADFORD,West Yorkshire,BRADFORD
BD100BN,51.8,BRADFORD,West Yorkshire,BRADFORD
BD100BP,58.2,BRADFORD,West Yorkshire,BRADFORD
BD100BS,30.4,BRADFORD,West Yorkshire,BRADFORD
BD100BW,60.1,BRADFORD,West Yorkshire,BRADFORD
BD100BX,69,BRADFORD,West Yorkshire,BRADFORD
BD100BY,64.8,BRADFORD,West Yorkshire,BRADFORD
BD100DA,71.5,BRADFORD,West Yorkshire,BRADFORD
BD100DB,49.7,BRADFORD,West Yorkshire,BRADFORD
BD100DH,92.1,BRADFORD,West Yorkshire,BRADFORD
BD100DJ,53.2,BRADFORD,West Yorkshire,BRADFORD
BD100DL,54.3,BRADFORD,West Yorkshire,BRADFORD
BD100DN,58.9,BRADFORD,West Yorkshire,BRADFORD
BD100DP,99.8,BRADFORD,West Yorkshire,BRADFORD
BD100DR,73.1,BRADFORD,West Yorkshire,BRADFORD
BD100DS,61.4,BRADFORD,West Yorkshire,BRADFORD
BD100DT,69.1,BRADFORD,West Yorkshire,BRADFORD
BD100DW,45.5,BRADFORD,West Yorkshire,BRADFORD
BD100DX,46,BRADFORD,West Yorkshire,BRADFORD
BD100DZ,86.6,BRADFORD,West Yorkshire,BRADFORD
BD100EA,51,BRADFORD,West Yorkshire,BRADFORD
BD100EP,74.8,BRADFORD,West Yorkshire,BRADFORD
BD100ER,67.5,BRADFORD,West Yorkshire,BRADFORD
BD100ES,73,BRADFORD,West Yorkshire,BRADFORD
BD100ET,87.8,BRADFORD,West Yorkshire,BRADFORD
BD100EY,66.5,BRADFORD,West Yorkshire,BRADFORD
BD100FA,83.7,BRADFORD,West Yorkshire,BRADFORD
BD100FB,75.7,BRADFORD,West Yorkshire,BRADFORD
BD100FF,9.2,BRADFORD,West Yorkshire,BRADFORD
BD100HD,45,BRADFORD,West Yorkshire,BRADFORD
BD100HE,89.3,BRADFORD,West Yorkshire,BRADFORD
BD100HF,54.6,BRADFORD,West Yorkshire,BRADFORD
BD100HJ,69.5,BRADFORD,West Yorkshire,BRADFORD
BD100HL,64.2,BRADFORD,West Yorkshire,BRADFORD
BD100HN,72.7,BRADFORD,West Yorkshire,BRADFORD
BD100HS,54.5,BRADFORD,West Yorkshire,BRADFORD
BD100HW,57.5,BRADFORD,West Yorkshire,BRADFORD
BD100HX,64.1,BRADFORD,West Yorkshire,BRADFORD
BD100HY,53.5,BRADFORD,West Yorkshire,BRADFORD
BD100JA,49.6,BRADFORD,West Yorkshire,BRADFORD
BD100JB,64.2,BRADFORD,West Yorkshire,BRADFORD
BD100JF,49.2,BRADFORD,West Yorkshire,BRADFORD
BD100JG,71.1,BRADFORD,West Yorkshire,BRADFORD
BD100JH,52.7,BRADFORD,West Yorkshire,BRADFORD
BD100JJ,59.8,BRADFORD,West Yorkshire,BRADFORD
BD100JL,59.3,BRADFORD,West Yorkshire,BRADFORD
BD100JN,60.5,BRADFORD,West Yorkshire,BRADFORD
BD100JP,47.8,BRADFORD,West Yorkshire,BRADFORD
BD100JQ,48.2,BRADFORD,West Yorkshire,BRADFORD
BD100JR,54.8,BRADFORD,West Yorkshire,BRADFORD
BD100JS,76.3,BRADFORD,West Yorkshire,BRADFORD
BD100JT,66.5,BRADFORD,West Yorkshire,BRADFORD
BD100JU,67.1,BRADFORD,West Yorkshire,BRADFORD
BD100JX,64.7,BRADFORD,West Yorkshire,BRADFORD
BD100JY,60.8,BRADFORD,West Yorkshire,BRADFORD
BD100LB,53.3,BRADFORD,West Yorkshire,BRADFORD
BD100LE,71.6,BRADFORD,West Yorkshire,BRADFORD
BD100LJ,49.7,BRADFORD,West Yorkshire,BRADFORD
BD100LP,23.9,BRADFORD,West Yorkshire,BRADFORD
BD100LQ,21.2,BRADFORD,West Yorkshire,BRADFORD
BD100LR,34.6,BRADFORD,West Yorkshire,BRADFORD
BD100LS,26.8,BRADFORD,West Yorkshire,BRADFORD
BD100LT,34.7,BRADFORD,West Yorkshire,BRADFORD
BD100LU,40.2,BRADFORD,West Yorkshire,BRADFORD
BD100LW,28.2,BRADFORD,West Yorkshire,BRADFORD
BD100LZ,39.9,BRADFORD,West Yorkshire,BRADFORD
BD100NA,16.5,BRADFORD,West Yorkshire,BRADFORD
BD100NB,70.3,BRADFORD,West Yorkshire,BRADFORD
BD100ND,33.7,BRADFORD,West Yorkshire,BRADFORD
BD100NF,44.3,BRADFORD,West Yorkshire,BRADFORD
BD100NH,77.1,BRADFORD,West Yorkshire,BRADFORD
BD100NQ,23.4,BRADFORD,West Yorkshire,BRADFORD
BD100NT,28.7,BRADFORD,West Yorkshire,BRADFORD
BD100NX,10.2,LEEDS,West Yorkshire,BRADFORD
BD100NY,6.1,BRADFORD,West Yorkshire,BRADFORD
BD100PA,20.8,LEEDS,West Yorkshire,BRADFORD
BD100PH,33.8,LEEDS,West Yorkshire,BRADFORD
BD100PJ,22.9,LEEDS,West Yorkshire,BRADFORD
BD100PN,20.9,LEEDS,West Yorkshire,BRADFORD
BD100PP,22.9,LEEDS,West Yorkshire,BRADFORD
BD100PQ,16.9,LEEDS,West Yorkshire,BRADFORD
BD100PX,30.4,BRADFORD,West Yorkshire,BRADFORD
BD100QA,55.2,BRADFORD,West Yorkshire,BRADFORD
BD100QE,43.6,BRADFORD,West Yorkshire,BRADFORD
BD100QG,25.4,BRADFORD,West Yorkshire,BRADFORD
BD100QH,16,BRADFORD,West Yorkshire,BRADFORD
BD100QJ,27.2,BRADFORD,West Yorkshire,BRADFORD
BD100QL,26.5,BRADFORD,West Yorkshire,BRADFORD
BD100QN,82.7,BRADFORD,West Yorkshire,BRADFORD
BD100QQ,52,BRADFORD,West Yorkshire,BRADFORD
BD100QT,96.6,BRADFORD,West Yorkshire,BRADFORD
BD100QU,56.7,BRADFORD,West Yorkshire,BRADFORD
BD100QX,31.4,BRADFORD,West Yorkshire,BRADFORD
BD100QZ,25,BRADFORD,West Yorkshire,BRADFORD
BD100RA,77.1,BRADFORD,West Yorkshire,BRADFORD
BD100RF,9.6,BRADFORD,West Yorkshire,BRADFORD
BD100RG,18.7,BRADFORD,West Yorkshire,BRADFORD
BD100RH,45.8,BRADFORD,West Yorkshire,BRADFORD
BD100RJ,56.8,BRADFORD,West Yorkshire,BRADFORD
BD100RN,43.5,BRADFORD,West Yorkshire,BRADFORD
BD100RP,26.5,BRADFORD,West Yorkshire,BRADFORD
BD100RQ,39.6,BRADFORD,West Yorkshire,BRADFORD
BD100RR,52.2,BRADFORD,West Yorkshire,BRADFORD
BD100RT,67.1,BRADFORD,West Yorkshire,BRADFORD
BD100RU,93.5,BRADFORD,West Yorkshire,BRADFORD
BD100RW,31.4,BRADFORD,West Yorkshire,BRADFORD
BD100RX,51.6,BRADFORD,West Yorkshire,BRADFORD
BD100RY,89.4,BRADFORD,West Yorkshire,BRADFORD
BD100SA,72.8,BRADFORD,West Yorkshire,BRADFORD
BD100SB,38.3,BRADFORD,West Yorkshire,BRADFORD
BD100SD,49,BRADFORD,West Yorkshire,BRADFORD
BD100SE,62.3,BRADFORD,West Yorkshire,BRADFORD
BD100SG,91.3,BRADFORD,West Yorkshire,BRADFORD
BD100SJ,29.9,BRADFORD,West Yorkshire,BRADFORD
BD100SN,70.9,BRADFORD,West Yorkshire,BRADFORD
BD100SP,45.1,BRADFORD,West Yorkshire,BRADFORD
BD100SQ,62.5,BRADFORD,West Yorkshire,BRADFORD
BD100SR,52.9,BRADFORD,West Yorkshire,BRADFORD
BD100SS,59.8,BRADFORD,West Yorkshire,BRADFORD
BD100SU,73.6,BRADFORD,West Yorkshire,BRADFORD
BD100SX,64.5,BRADFORD,West Yorkshire,BRADFORD
BD100SY,53.6,BRADFORD,West Yorkshire,BRADFORD
BD100TA,25.7,BRADFORD,West Yorkshire,BRADFORD
BD100TE,69.4,BRADFORD,West Yorkshire,BRADFORD
BD100TH,56,BRADFORD,West Yorkshire,BRADFORD
BD100TQ,32.5,BRADFORD,West Yorkshire,BRADFORD
BD100TR,55.2,BRADFORD,West Yorkshire,BRADFORD
BD100TS,57.5,BRADFORD,West Yorkshire,BRADFORD
BD100TT,17.6,BRADFORD,West Yorkshire,BRADFORD
BD100TX,30.8,BRADFORD,West Yorkshire,BRADFORD
BD100TY,40.5,BRADFORD,West Yorkshire,BRADFORD
BD100TZ,37.1,BRADFORD,West Yorkshire,BRADFORD
BD100UF,36.8,BRADFORD,West Yorkshire,BRADFORD
BD100UG,26.8,BRADFORD,West Yorkshire,BRADFORD
BD100UH,66.6,BRADFORD,West Yorkshire,BRADFORD
BD100UJ,59.7,BRADFORD,West Yorkshire,BRADFORD
BD100UL,69.6,BRADFORD,West Yorkshire,BRADFORD
BD100UN,75.4,BRADFORD,West Yorkshire,BRADFORD
BD100UP,43.2,BRADFORD,West Yorkshire,BRADFORD
BD100UQ,38,BRADFORD,West Yorkshire,BRADFORD
BD100UR,29.3,BRADFORD,West Yorkshire,BRADFORD
BD100UT,41.6,BRADFORD,West Yorkshire,BRADFORD
BD100UW,39.2,BRADFORD,West Yorkshire,BRADFORD
BD108AB,89,BRADFORD,West Yorkshire,BRADFORD
BD108AD,89.9,BRADFORD,West Yorkshire,BRADFORD
BD108AE,89.1,BRADFORD,West Yorkshire,BRADFORD
BD108AG,66.1,BRADFORD,West Yorkshire,BRADFORD
BD108AN,30.5,BRADFORD,West Yorkshire,BRADFORD
BD108AQ,38.8,BRADFORD,West Yorkshire,BRADFORD
BD108AR,48.5,BRADFORD,West Yorkshire,BRADFORD
BD108AS,34,BRADFORD,West Yorkshire,BRADFORD
BD108AU,90.5,BRADFORD,West Yorkshire,BRADFORD
BD108AW,96.5,BRADFORD,West Yorkshire,BRADFORD
BD108BA,80.7,BRADFORD,West Yorkshire,BRADFORD
BD108BB,72.3,BRADFORD,West Yorkshire,BRADFORD
BD108BD,66.3,BRADFORD,West Yorkshire,BRADFORD
BD108BE,93.4,BRADFORD,West Yorkshire,BRADFORD
BD108BG,109.9,BRADFORD,West Yorkshire,BRADFORD
BD108BL,53.7,BRADFORD,West Yorkshire,BRADFORD
BD108BN,87.1,BRADFORD,West Yorkshire,BRADFORD
BD108BQ,30.7,BRADFORD,West Yorkshire,BRADFORD
BD108BS,40.5,BRADFORD,West Yorkshire,BRADFORD
BD108BT,79,BRADFORD,West Yorkshire,BRADFORD
BD108BU,71.1,BRADFORD,West Yorkshire,BRADFORD
BD108BW,76.6,BRADFORD,West Yorkshire,BRADFORD
BD108BY,69.3,BRADFORD,West Yorkshire,BRADFORD
BD108DA,88.9,BRADFORD,West Yorkshire,BRADFORD
BD108DB,79,BRADFORD,West Yorkshire,BRADFORD
BD108DD,41.5,BRADFORD,West Yorkshire,BRADFORD
BD108DE,61.2,BRADFORD,West Yorkshire,BRADFORD
BD108DF,13.6,BRADFORD,West Yorkshire,BRADFORD
BD108DH,52.8,BRADFORD,West Yorkshire,BRADFORD
BD108DJ,47.5,BRADFORD,West Yorkshire,BRADFORD
BD108DL,52.3,BRADFORD,West Yorkshire,BRADFORD
BD108DN,24.8,BRADFORD,West Yorkshire,BRADFORD
BD108DX,40.5,BRADFORD,West Yorkshire,BRADFORD
BD108EE,49,BRADFORD,West Yorkshire,BRADFORD
BD108EG,28.7,BRADFORD,West Yorkshire,BRADFORD
BD108EP,10.8,BRADFORD,West Yorkshire,BRADFORD
BD108ER,17.3,BRADFORD,West Yorkshire,BRADFORD
BD108ES,72.5,BRADFORD,West Yorkshire,BRADFORD
BD108ET,48.2,BRADFORD,West Yorkshire,BRADFORD
BD108EU,58,BRADFORD,West Yorkshire,BRADFORD
BD108EX,62.5,BRADFORD,West Yorkshire,BRADFORD
BD108EY,44.7,BRADFORD,West Yorkshire,BRADFORD
BD108EZ,56.5,BRADFORD,West Yorkshire,BRADFORD
BD108HY,48.7,BRADFORD,West Yorkshire,BRADFORD
BD108JD,64.4,BRADFORD,West Yorkshire,BRADFORD
BD108JE,87.8,BRADFORD,West Yorkshire,BRADFORD
BD108JF,110.2,BRADFORD,West Yorkshire,BRADFORD
BD108JH,65.3,BRADFORD,West Yorkshire,BRADFORD
BD108JJ,61.2,BRADFORD,West Yorkshire,BRADFORD
BD108JL,56.9,BRADFORD,West Yorkshire,BRADFORD
BD108JP,62.8,BRADFORD,West Yorkshire,BRADFORD
BD108JQ,44.6,BRADFORD,West Yorkshire,BRADFORD
BD108JR,40.8,BRADFORD,West Yorkshire,BRADFORD
BD108JS,34,BRADFORD,West Yorkshire,BRADFORD
BD108JT,66.9,BRADFORD,West Yorkshire,BRADFORD
BD108JW,13.7,BRADFORD,West Yorkshire,BRADFORD
BD108JX,30.8,BRADFORD,West Yorkshire,BRADFORD
BD108JZ,56.4,BRADFORD,West Yorkshire,BRADFORD
BD108LA,57.9,BRADFORD,West Yorkshire,BRADFORD
BD108LB,100.1,BRADFORD,West Yorkshire,BRADFORD
BD108LE,19.8,BRADFORD,West Yorkshire,BRADFORD
BD108LF,93.5,BRADFORD,West Yorkshire,BRADFORD
BD108LG,57.4,BRADFORD,West Yorkshire,BRADFORD
BD108LJ,70.8,BRADFORD,West Yorkshire,BRADFORD
BD108LL,42.3,BRADFORD,West Yorkshire,BRADFORD
BD108LN,28.5,BRADFORD,West Yorkshire,BRADFORD
BD108LP,27.8,BRADFORD,West Yorkshire,BRADFORD
BD108LR,39.5,BRADFORD,West Yorkshire,BRADFORD
BD108LS,67.9,BRADFORD,West Yorkshire,BRADFORD
BD108LT,45,BRADFORD,West Yorkshire,BRADFORD
BD108LX,58.3,BRADFORD,West Yorkshire,BRADFORD
BD108LZ,32.8,BRADFORD,West Yorkshire,BRADFORD
BD108NB,81.7,BRADFORD,West Yorkshire,BRADFORD
BD108ND,24.7,BRADFORD,West Yorkshire,BRADFORD
BD108NE,35.5,BRADFORD,West Yorkshire,BRADFORD
BD108NJ,76.6,BRADFORD,West Yorkshire,BRADFORD
BD108NN,37.9,BRADFORD,West Yorkshire,BRADFORD
BD108NP,19.9,BRADFORD,West Yorkshire,BRADFORD
BD108NT,18.8,BRADFORD,West Yorkshire,BRADFORD
BD108NU,47.4,BRADFORD,West Yorkshire,BRADFORD
BD108NX,56.8,BRADFORD,West Yorkshire,BRADFORD
BD108NY,82.3,BRADFORD,West Yorkshire,BRADFORD
BD108PA,58.4,BRADFORD,West Yorkshire,BRADFORD
BD108PB,60.4,BRADFORD,West Yorkshire,BRADFORD
BD108PD,72.3,BRADFORD,West Yorkshire,BRADFORD
BD108PE,66.5,BRADFORD,West Yorkshire,BRADFORD
BD108PG,38.2,BRADFORD,West Yorkshire,BRADFORD
BD108PJ,57.2,BRADFORD,West Yorkshire,BRADFORD
BD108PL,30.6,BRADFORD,West Yorkshire,BRADFORD
BD108PN,53.1,BRADFORD,West Yorkshire,BRADFORD
BD108PQ,77.9,BRADFORD,West Yorkshire,BRADFORD
BD108PR,56.9,BRADFORD,West Yorkshire,BRADFORD
BD108PS,18,BRADFORD,West Yorkshire,BRADFORD
BD108PU,41.6,BRADFORD,West Yorkshire,BRADFORD
BD108PW,67.1,BRADFORD,West Yorkshire,BRADFORD
BD108PX,19,BRADFORD,West Yorkshire,BRADFORD
BD108PY,50.2,BRADFORD,West Yorkshire,BRADFORD
BD108QE,36,BRADFORD,West Yorkshire,BRADFORD
BD108QF,48.4,BRADFORD,West Yorkshire,BRADFORD
BD108QG,53.9,BRADFORD,West Yorkshire,BRADFORD
BD108QH,74.1,BRADFORD,West Yorkshire,BRADFORD
BD108QJ,67.7,BRADFORD,West Yorkshire,BRADFORD
BD108QL,47.5,BRADFORD,West Yorkshire,BRADFORD
BD108QN,63.3,BRADFORD,West Yorkshire,BRADFORD
BD108QP,30.1,BRADFORD,West Yorkshire,BRADFORD
BD108QQ,80.2,BRADFORD,West Yorkshire,BRADFORD
BD108QR,49.2,BRADFORD,West Yorkshire,BRADFORD
BD108QT,53.2,BRADFORD,West Yorkshire,BRADFORD
BD108QU,51.3,BRADFORD,West Yorkshire,BRADFORD
BD108QX,36.2,BRADFORD,West Yorkshire,BRADFORD
BD108QY,42.3,BRADFORD,West Yorkshire,BRADFORD
BD108QZ,60.2,BRADFORD,West Yorkshire,BRADFORD
BD108RA,72.1,BRADFORD,West Yorkshire,BRADFORD
BD108RD,73.8,BRADFORD,West Yorkshire,BRADFORD
BD108RE,47,BRADFORD,West Yorkshire,BRADFORD
BD108RG,51.7,BRADFORD,West Yorkshire,BRADFORD
BD108RH,86.7,BRADFORD,West Yorkshire,BRADFORD
BD108RL,75.3,BRADFORD,West Yorkshire,BRADFORD
BD108RP,18.7,BRADFORD,West Yorkshire,BRADFORD
BD108RQ,83.1,BRADFORD,West Yorkshire,BRADFORD
BD108RR,54.4,BRADFORD,West Yorkshire,BRADFORD
BD108RS,68.3,BRADFORD,West Yorkshire,BRADFORD
BD108RU,75.1,BRADFORD,West Yorkshire,BRADFORD
BD108RW,35.4,BRADFORD,West Yorkshire,BRADFORD
BD108RX,32.4,BRADFORD,West Yorkshire,BRADFORD
BD108RY,73.3,BRADFORD,West Yorkshire,BRADFORD
BD108SA,54.3,BRADFORD,West Yorkshire,BRADFORD
BD108SB,101.8,BRADFORD,West Yorkshire,BRADFORD
BD108SF,48.3,BRADFORD,West Yorkshire,BRADFORD
BD108SH,26.4,BRADFORD,West Yorkshire,BRADFORD
BD108SL,27.7,BRADFORD,West Yorkshire,BRADFORD
BD108SN,52.3,BRADFORD,West Yorkshire,BRADFORD
BD108SP,23.8,BRADFORD,West Yorkshire,BRADFORD
BD108ST,30.9,BRADFORD,West Yorkshire,BRADFORD
BD108SU,31.2,BRADFORD,West Yorkshire,BRADFORD
BD108SX,39.9,BRADFORD,West Yorkshire,BRADFORD
BD108SY,27,BRADFORD,West Yorkshire,BRADFORD
BD108SZ,38.7,BRADFORD,West Yorkshire,BRADFORD
BD108TB,69.1,BRADFORD,West Yorkshire,BRADFORD
BD108TD,54.8,BRADFORD,West Yorkshire,BRADFORD
BD108TE,82.8,BRADFORD,West Yorkshire,BRADFORD
BD108TF,17.1,BRADFORD,West Yorkshire,BRADFORD
BD108TN,52.6,BRADFORD,West Yorkshire,BRADFORD
BD108TR,15.4,BRADFORD,West Yorkshire,BRADFORD
BD108TW,66.4,BRADFORD,West Yorkshire,BRADFORD
BD108UA,20.7,BRADFORD,West Yorkshire,BRADFORD
BD108UB,23.4,BRADFORD,West Yorkshire,BRADFORD
BD108UE,25.9,BRADFORD,West Yorkshire,BRADFORD
BD108UF,28.5,BRADFORD,West Yorkshire,BRADFORD
BD108UG,32.2,BRADFORD,West Yorkshire,BRADFORD
BD108UJ,52.1,BRADFORD,West Yorkshire,BRADFORD
BD108UL,66.1,BRADFORD,West Yorkshire,BRADFORD
BD108UN,15.7,BRADFORD,West Yorkshire,BRADFORD
BD108UQ,49.1,BRADFORD,West Yorkshire,BRADFORD
BD108UT,17,BRADFORD,West Yorkshire,BRADFORD
BD108UU,19.1,BRADFORD,West Yorkshire,BRADFORD
BD108WA,39.5,BRADFORD,West Yorkshire,BRADFORD
BD108WB,21.5,BRADFORD,West Yorkshire,BRADFORD
BD108WD,26.9,BRADFORD,West Yorkshire,BRADFORD
BD108WE,31,BRADFORD,West Yorkshire,BRADFORD
BD108WF,28,BRADFORD,West Yorkshire,BRADFORD
BD108WG,35.3,BRADFORD,West Yorkshire,BRADFORD
BD108WH,34,BRADFORD,West Yorkshire,BRADFORD
BD108WJ,34.8,BRADFORD,West Yorkshire,BRADFORD
BD108WL,36.7,BRADFORD,West Yorkshire,BRADFORD
BD108WN,36.1,BRADFORD,West Yorkshire,BRADFORD
BD108WP,30.9,BRADFORD,West Yorkshire,BRADFORD
BD108WQ,27.4,BRADFORD,West Yorkshire,BRADFORD
BD108WR,35.4,BRADFORD,West Yorkshire,BRADFORD
BD108WS,37,BRADFORD,West Yorkshire,BRADFORD
BD108WT,40.3,BRADFORD,West Yorkshire,BRADFORD
BD108WU,37.1,BRADFORD,West Yorkshire,BRADFORD
BD108WW,34.1,BRADFORD,West Yorkshire,BRADFORD
BD108WX,41.3,BRADFORD,West Yorkshire,BRADFORD
BD108WY,34.7,BRADFORD,West Yorkshire,BRADFORD
BD108XB,60,BRADFORD,West Yorkshire,BRADFORD
BD108XD,67.9,BRADFORD,West Yorkshire,BRADFORD
BD108XE,40.6,BRADFORD,West Yorkshire,BRADFORD
BD108XN,56.8,BRADFORD,West Yorkshire,BRADFORD
BD109AB,20.4,BRADFORD,West Yorkshire,BRADFORD
BD109AD,47.4,BRADFORD,West Yorkshire,BRADFORD
BD109AH,47.3,BRADFORD,West Yorkshire,BRADFORD
BD109AP,57.6,BRADFORD,West Yorkshire,BRADFORD
BD109AR,40.4,BRADFORD,West Yorkshire,BRADFORD
BD109AS,50.1,BRADFORD,West Yorkshire,BRADFORD
BD109AT,32.1,BRADFORD,West Yorkshire,BRADFORD
BD109AX,59.4,BRADFORD,West Yorkshire,BRADFORD
BD109AY,23.3,BRADFORD,West Yorkshire,BRADFORD
BD109BA,69.3,BRADFORD,West Yorkshire,BRADFORD
BD109BD,39.8,BRADFORD,West Yorkshire,BRADFORD
BD109BG,45.4,BRADFORD,West Yorkshire,BRADFORD
BD109BH,61.8,BRADFORD,West Yorkshire,BRADFORD
BD109BJ,50.4,BRADFORD,West Yorkshire,BRADFORD
BD109BL,73.6,BRADFORD,West Yorkshire,BRADFORD
BD109BN,49.5,BRADFORD,West Yorkshire,BRADFORD
BD109BP,75.4,BRADFORD,West Yorkshire,BRADFORD
BD109BT,67.5,BRADFORD,West Yorkshire,BRADFORD
BD109BU,70.1,BRADFORD,West Yorkshire,BRADFORD
BD109BW,61.2,BRADFORD,West Yorkshire,BRADFORD
BD109BX,74.3,BRADFORD,West Yorkshire,BRADFORD
BD109BY,81,BRADFORD,West Yorkshire,BRADFORD
BD109DG,94.8,BRADFORD,West Yorkshire,BRADFORD
BD109DW,28.9,BRADFORD,West Yorkshire,BRADFORD
BD109EG,45.1,BRADFORD,West Yorkshire,BRADFORD
BD109ER,73.1,BRADFORD,West Yorkshire,BRADFORD
BD109EW,62.5,BRADFORD,West Yorkshire,BRADFORD
BD109FG,34.1,BRADFORD,West Yorkshire,BRADFORD
BD109FH,26.3,BRADFORD,West Yorkshire,BRADFORD
BD109FL,39.9,BRADFORD,West Yorkshire,BRADFORD
BD109HB,32.7,BRADFORD,West Yorkshire,BRADFORD
BD109HE,67.1,BRADFORD,West Yorkshire,BRADFORD
BD109HP,49.8,BRADFORD,West Yorkshire,BRADFORD
BD109HQ,67.2,BRADFORD,West Yorkshire,BRADFORD
BD109HR,47.6,BRADFORD,West Yorkshire,BRADFORD
BD109HT,55.9,BRADFORD,West Yorkshire,BRADFORD
BD109HU,67.6,BRADFORD,West Yorkshire,BRADFORD
BD109HX,52.2,BRADFORD,West Yorkshire,BRADFORD
BD109JD,83.5,BRADFORD,West Yorkshire,BRADFORD
BD109JF,59.7,BRADFORD,West Yorkshire,BRADFORD
BD109JG,21.9,BRADFORD,West Yorkshire,BRADFORD
BD109JH,83.7,BRADFORD,West Yorkshire,BRADFORD
BD109JJ,73.7,BRADFORD,West Yorkshire,BRADFORD
BD109JQ,32.9,BRADFORD,West Yorkshire,BRADFORD
BD109JS,89.4,BRADFORD,West Yorkshire,BRADFORD
BD109LA,39,BRADFORD,West Yorkshire,BRADFORD
BD109LB,58.9,BRADFORD,West Yorkshire,BRADFORD
BD109LD,40.1,BRADFORD,West Yorkshire,BRADFORD
BD109LE,49,BRADFORD,West Yorkshire,BRADFORD
BD109LF,61.1,BRADFORD,West Yorkshire,BRADFORD
BD109LQ,25.4,BRADFORD,West Yorkshire,BRADFORD
BD109NE,40.1,BRADFORD,West Yorkshire,BRADFORD
BD109NT,71.4,BRADFORD,West Yorkshire,BRADFORD
BD109PB,54,BRADFORD,West Yorkshire,BRADFORD
BD109PE,34.2,BRADFORD,West Yorkshire,BRADFORD
BD109PH,22.2,BRADFORD,West Yorkshire,BRADFORD
BD109PL,56.3,BRADFORD,West Yorkshire,BRADFORD
BD109PP,14.3,BRADFORD,West Yorkshire,BRADFORD
BD109PQ,66.2,BRADFORD,West Yorkshire,BRADFORD
BD109PT,25.2,BRADFORD,West Yorkshire,BRADFORD
BD109PY,49,BRADFORD,West Yorkshire,BRADFORD
BD109QG,20.6,BRADFORD,West Yorkshire,BRADFORD
BD109QJ,67.8,BRADFORD,West Yorkshire,BRADFORD
BD109QL,56.9,BRADFORD,West Yorkshire,BRADFORD
BD109QN,54,BRADFORD,West Yorkshire,BRADFORD
BD109QP,86.3,BRADFORD,West Yorkshire,BRADFORD
BD109QQ,58,BRADFORD,West Yorkshire,BRADFORD
BD109QR,65,BRADFORD,West Yorkshire,BRADFORD
BD109QW,20.6,BRADFORD,West Yorkshire,BRADFORD
BD109QX,97.2,BRADFORD,West Yorkshire,BRADFORD
BD109QZ,51.5,BRADFORD,West Yorkshire,BRADFORD
BD109RB,19.6,BRADFORD,West Yorkshire,BRADFORD
BD109RD,58.6,BRADFORD,West Yorkshire,BRADFORD
BD109RF,38.7,BRADFORD,West Yorkshire,BRADFORD
BD109RJ,50.8,BRADFORD,West Yorkshire,BRADFORD
BD109RL,32.7,BRADFORD,West Yorkshire,BRADFORD
BD109RP,16.6,BRADFORD,West Yorkshire,BRADFORD
BD109RQ,51.9,BRADFORD,West Yorkshire,BRADFORD
BD109RR,45.2,BRADFORD,West Yorkshire,BRADFORD
BD109RS,99.1,BRADFORD,West Yorkshire,BRADFORD
BD109RT,43.9,BRADFORD,West Yorkshire,BRADFORD
BD109RU,78.2,BRADFORD,West Yorkshire,BRADFORD
BD109RW,20.4,BRADFORD,West Yorkshire,BRADFORD
BD109RX,76.9,BRADFORD,West Yorkshire,BRADFORD
BD109RY,76.4,BRADFORD,West Yorkshire,BRADFORD
BD109SA,44.7,BRADFORD,West Yorkshire,BRADFORD
BD109SB,52.6,BRADFORD,West Yorkshire,BRADFORD
BD109SD,50.8,BRADFORD,West Yorkshire,BRADFORD
BD109SE,42,BRADFORD,West Yorkshire,BRADFORD
BD109SH,73.2,BRADFORD,West Yorkshire,BRADFORD
BD109SJ,52.8,BRADFORD,West Yorkshire,BRADFORD
BD109SL,60.2,BRADFORD,West Yorkshire,BRADFORD
BD109SN,72.4,BRADFORD,West Yorkshire,BRADFORD
BD109SP,53.3,BRADFORD,West Yorkshire,BRADFORD
BD109SQ,88.9,BRADFORD,West Yorkshire,BRADFORD
BD109SS,64.6,BRADFORD,West Yorkshire,BRADFORD
BD109ST,70.6,BRADFORD,West Yorkshire,BRADFORD
