postcode,SFBB availability (% premises),UFBB availability (% premises),FTTP availability (% premises),District,County,TownCity
BD100NB,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100ND,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100NF,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100NH,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100NN,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100NQ,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD100NT,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100PH,100,0,0,LEEDS,West Yorkshire,BRADFORD
BD100PJ,100,0,0,LEEDS,West Yorkshire,BRADFORD
BD100PQ,50,0,0,LEEDS,West Yorkshire,BRADFORD
BD100PT,25,0,0,LEEDS,West Yorkshire,BRADFORD
BD100PX,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100QA,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100QE,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100QG,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100QJ,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100QL,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100QN,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100QQ,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100QT,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100QU,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100QX,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100QZ,93.3,0,0,BRADFORD,West Yorkshire,BRADFORD
BD100RA,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100RF,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100RG,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD100RH,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100RJ,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100RN,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100RP,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD100RQ,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100RR,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100RT,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100RU,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100RW,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100RX,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100RY,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100SA,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100SB,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100SD,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100SE,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100SG,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100SH,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100SJ,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100SN,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100SP,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100SQ,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100SR,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100SS,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100ST,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD100SU,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100SX,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100SY,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100TA,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100TE,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100TG,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100TH,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100TQ,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100TR,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100TS,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100TX,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD100TY,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD100TZ,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD100UF,79.5,20.5,0,BRADFORD,West Yorkshire,BRADFORD
BD100UG,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD100UH,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100UJ,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100UL,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100UN,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100UP,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD100UQ,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD100UR,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100UT,18.8,81.3,0,BRADFORD,West Yorkshire,BRADFORD
BD100UW,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD108AB,0,100,0,BRADFORD,West Yorkshire,BRADFORD
