URN,SchoolName,LocalAuthority,County,Postcode,Attainment8,Year,LSOA,District
146501,Astrea Academy Dearne,Barnsley,South Yorkshire,S639EW,39.6,2023-2024,Barnsley 022B,BARNSLEY
131749,Barnsley Academy,Barnsley,South Yorkshire,S703DL,43,2023-2024,Barnsley 018A,BARNSLEY
130524,Barnsley College,Barnsley,South Yorkshire,S702YW,6.5,2023-2024,Barnsley 013B,BARNSLEY
146320,Darton Academy,Barnsley,South Yorkshire,S755EF,48.9,2023-2024,Barnsley 005C,BARNSLEY
144606,Holy Trinity Catholic and Church of England School,Barnsley,South Yorkshire,S712LF,34.2,2023-2024,Barnsley 007E,BARNSLEY
146455,Horizon Community College,Barnsley,South Yorkshire,S706PD,44.8,2023-2024,Barnsley 012F,BARNSLEY
140979,Kirk Balk Academy,Barnsley,South Yorkshire,S749HX,46.8,2023-2024,Barnsley 028B,BARNSLEY
143907,Netherwood Academy,Barnsley,South Yorkshire,S738FE,42.6,2023-2024,Barnsley 023B,BARNSLEY
139210,Outwood Academy Carlton,Barnsley,South Yorkshire,S713EW,39.7,2023-2024,Barnsley 002B,BARNSLEY
139211,Outwood Academy Shafton,Barnsley,South Yorkshire,S728RE,40.7,2023-2024,Barnsley 003B,BARNSLEY
106653,Penistone Grammar School,Barnsley,South Yorkshire,S367BX,55.4,2023-2024,Barnsley 016D,BARNSLEY
106965,The Robert Ogden School,Barnsley,South Yorkshire,S630BG,2.6,2023-2024,Barnsley 014F,BARNSLEY
141563,Springwell Special Academy,Barnsley,South Yorkshire,S712AY,6.4,2023-2024,Barnsley 007E,BARNSLEY
138314,Armthorpe Academy,Doncaster,South Yorkshire,DN32DA,37.5,2023-2024,Doncaster 014B,DONCASTER
137066,Ash Hill Academy,Doncaster,South Yorkshire,DN76JH,45,2023-2024,Doncaster 006B,DONCASTER
146370,Astrea Academy Woodfields,Doncaster,South Yorkshire,DN48ND,32.6,2023-2024,Doncaster 028A,DONCASTER
147864,Bader Academy,Doncaster,South Yorkshire,DN32EW,10.2,2023-2024,NA,NA
138116,Campsmount Academy,Doncaster,South Yorkshire,DN69AS,40,2023-2024,Doncaster 002G,DONCASTER
135942,De Warenne Academy,Doncaster,South Yorkshire,DN123JY,46.2,2023-2024,Doncaster 035C,DONCASTER
137472,Don Valley Academy,Doncaster,South Yorkshire,DN59DD,48.5,2023-2024,Doncaster 012D,DONCASTER
106818,Doncaster School for the Deaf,Doncaster,South Yorkshire,DN26AY,8.9,2023-2024,Doncaster 019A,DONCASTER
