URN,SCHNAME,ATT8SCR
142832,New Level Academy,NE
146212,The Village School,NE
140796,Woodfield School,NE
101697,Marjorie McClure School,NE
135232,Riverside School,NE
147874,Addington Valley Academy,SUPP
101856,Priory School,NE
101852,St Giles School,NE
101969,John Chilton School,NE
101971,St Ann's School,NE
148415,Seva Education,SUPP
101970,Springhallow School,NE
101953,The Sybil Elgar School,NE
102066,Durants School,NE
145232,Fern House School,NE
135839,Freshsteps Independent school,NE
102069,Oaktree School,NE
134580,Phoenix Academy,SUPP
102070,Waverley School,NE
145917,The Grove,NE
135683,Kestrel House School,SUPP
102178,Riverside School,NE
135534,TreeHouse School,NE
133317,Kingsley High School,NE
102260,Shaftesbury High School,NE
102362,Corbets Tey School,NE
142050,Lime Academy Forest Approach,NE
142722,Lime Academy Ravensbourne,NE
102462,Meadow High School,NE
138158,Moorcroft School,NE
141606,Pentland Field School,NE
102464,Pield Heath House RC School,NE
102555,Oaklands School,NE
138771,The St Michael Steiner School,NE
142687,Bedelsford School,NE
142698,Dysart School,NE
147908,Tennis Avenue School,SUPP
102699,Cricket Green School,NE
102698,Perseid School,NE
136678,RISE Education,SUPP
141255,John F Kennedy Special School,NE
148593,Learningsure College,SUPP
148071,Endeavour House School,SUPP
144875,Newbridge School,NE
143406,Oak House School,SUPP
136244,Stradbroke,SUPP
147188,Capella House School,SUPP
143318,Strathmore School,NE
103025,Sherwood Park School,NE
138454,Lime Academy Hornbeam,NE
140795,Whitefield School,NE
145859,Arc Oakbridge School,SUPP
139962,Aspire Ap School,SUPP
143418,Birmingham Independent College,SUPP
143039,Blackwater Academy,NE
146999,Camp Hill Education,SUPP
103625,Fox Hollies School,NE
135422,Future First Independent School,SUPP
135688,Green Heath School,SUPP
144336,Hallmoor School,NE
146780,Hopwood Hall School,SUPP
148225,Mayfield School,NE
148644,Myles Academy,SUPP
143174,Newbury Independent School,SUPP
147234,Orion School,NE
139706,R.Y.A.N Education Academy,SUPP
148157,Redstone Academy for Girls,NE
134982,Spring Hill High School,SUPP
135608,TLG North Birmingham,SUPP
103605,Uffculme School,NE
147702,V.A.S.E Academy,SUPP
103601,Victoria School,NE
142623,Woodbourne Hospital School,SUPP
103765,Baginton Fields School,NE
148079,Summit School,NE
103880,The Old Park School,NE
103883,Pens Meadow School,SUPP
148642,Priory Park Community School,SUPP
147736,Dudley Port School,SUPP
132231,The Meadows School,NE
147347,Shenstone Lodge School,SUPP
132233,The Westminster School,NE
104132,Forest Oak School,NE
104130,Hazel Oak School,NE
135453,The Island Project School,SUPP
104133,Merstone School,SUPP
104131,Reynalds Cross School,NE
104269,Castle School,NE
130323,Emmanuel School,SUPP
104271,"The Jane Lane School, A College for Cognition & Learning",NE
104272,Mary Elliot School,NE
146563,West Midlands Education and Skills,NE
148252,WV2 Education,NE
104415,Green Park School,NE
104417,Penn Hall School,SUPP
104414,Tettenhall Wood School,NE
142383,Westcroft School,NE
145059,Woodbury School,SUPP
148840,A.R.T.S. Education,SUPP
104495,Bluebell Park School,NE
136752,Lawrence House School,NE
148802,Assess Education North West,NE
145463,ES Independent School,NE
133309,Liverpool Progressive School,SUPP
148620,NexGen Academy,NE
104748,Palmerston School,NE
145160,Peregrinate Ltd.,NE
147665,Prudentia Education,NE
104749,Redbridge High School,NE
104735,Royal School for the Blind (Liverpool),SUPP
104734,St Vincent's School - A Specialist School for Sensory Impairment and Other Needs,SUPP
130961,Sandfield Park School,NE
129571,Learn 4 Life School,SUPP
131022,Mill Green School,NE
148758,This Is My Education - TIME,SUPP
134888,Wargrave House School,SUPP
104980,Crosby High School,NE
148931,Educ8 Liverpool,NE
104979,Merefield School,SUPP
133748,Peterhouse School,NE
105131,Foxfield School,NE
148149,LIFE Wirral Sports School,SUPP
147468,Progress Schools - Hamilton Square,SUPP
105280,Birtenshaw,SUPP
146410,Firwood High School,NE
105276,Thomasson Memorial School,SUPP
140205,Cambian Chesham House School,SUPP
149094,Craig Ormerod Associates School Provision,SUPP
142675,Excel and Exceed Centre,NE
145845,Grange School,NE
141680,Harpurhey Alternative Provision School,NE
105596,King of Kings,SUPP
105608,Lancasterian School,NE
135027,Manchester Jewish School for Special Education,SUPP
137887,Music Stuff,NE
132905,North Ridge High School,NE
142893,Pioneer House High School,NE
141805,Piper Hill High School,NE
148542,Progress Schools - Gorton,SUPP
131751,Brookland School,SUPP
138697,New Bridge School,NE
146646,SMS Changing Lives School,NE
131379,Cedar Lodge School,SUPP
145170,Elizabeth House School,SUPP
136257,Meadows School,SUPP
149020,Willow View School,SUPP
140036,Ahavas Torah Boys Academy,NE
135633,Aim Habonim,SUPP
143062,Chatsworth High School and Community College,NE
106004,Oholei Yosef Yitzchok Lubavitch Schools,SUPP
106158,Covenant Christian School,SUPP
106173,Heaton School,NE
142524,North West Hospital School,NE
135526,Penarth Group School,SUPP
106166,"Royal School, Manchester",NE
135975,Ashlea House School,SUPP
106279,Cromwell High School,NE
145290,Greater Manchester Alternative Provision,SUPP
146182,Lawrence House,SUPP
130913,The Limes School,SUPP
147859,Safe Start Education,SUPP
106391,Brentwood School,NE
146988,The Holden School,SUPP
106543,Hope School,NE
134297,"Landgate School, Bryn",SUPP
148070,Progress Schools - Lilford Centre,SUPP
145187,Progress Schools Wigan,SUPP
141704,Greenacre School,NE
142320,Park House School,SUPP
147864,Bader Special Academy,SUPP
147582,Coppice School,NE
106818,Doncaster School for the Deaf,SUPP
147515,Heatherwood School,NE
148181,More Than Ed Independent School,NE
147829,North Ridge Community School,SUPP
144346,Pennine View School,NE
135547,Stone Hill School,NE
147666,Ellern Mede Moorgate School,SUPP
142795,Hilltop School,SUPP
142797,Kelford School,NE
144196,Milton School,NE
106970,The Willows School,NE
136936,Branwood Specialist School,SUPP
135815,Paces School for Conductive Education,SUPP
135287,Seven Hills School,NE
107178,Talbot Specialist School,NE
139978,Co-op Academy Southfield,NE
139977,Hazelbeck Special School,NE
143533,High Park School,NE
137785,Prism Independent School,NE
141603,Training and Skills Centre,SUPP
147733,Beacon Lights Schools,SUPP
148537,Brearley Hall School,SUPP
138441,Compass Community School North,SUPP
148894,Endeavour House School,SUPP
147983,Millcourt School,SUPP
107588,Ravenscliffe High School,NE
142324,Stafford Hall School,SUPP
107795,The Branch Christian School,SUPP
142420,Castle Hill: A Specialist College for Communication and Interaction,NE
148175,ES Independent School Kirklees,NE
107802,Fairfield School,NE
107796,Hollybank School,SUPP
107797,Woodley School and College,NE
130274,Al Kauthar Girls Academy,SUPP
148759,Core Training and Development limited,NE
148255,LS-TEN,SUPP
108120,"St John's Catholic Specialist School, Boston Spa",NE
146633,Southway Independant School,NE
108133,West Oaks School,NE
147306,Compass Community School Hemsworth,SUPP
148241,Ivy Lane School,SUPP
133719,Oakfield Park School,NE
108307,Wakefield independent sch,SUPP
131200,Dryden School,NE
139807,Haskel School,SUPP
108551,Northern Counties School,NE
131987,Sir Charles Parsons School,NE
133779,Talbot House Children's Charity,SUPP
146680,Thomas Bewick School,NE
131544,Beacon Hill School,NE
143049,Hopespring Newcastle,SUPP
135001,Parkside House School,SUPP
108657,Percy Hedley School,NE
108652,Woodlawn School,NE
108741,Epinay Business and Enterprise School,NE
136252,Keelman's Way School,NE
147648,Hopespring Sunderland,NE
138526,Portland Academy,NE
108877,Thornhill Park School,SUPP
109410,Briarwood School,NE
109391,Claremont School,SUPP
148394,Grace Garden School,SUPP
109393,New Fosseway School,NE
142780,Venturers' Academy,NE
109409,Baytree School,SUPP
148418,Seven Hills,SUPP
146014,Culverhill School,NE
140206,Immanuel Christian School,SUPP
146013,New Siblands School,NE
109353,Sheiling School,SUPP
109403,Warmley Park School,NE
139976,Catcote Academy,NE
131425,Priory Woods School,NE
148729,Invested Education,SUPP
139110,Kilton Thorpe Specialist Academy,NE
111777,Kirkleatham Hall School,NE
147914,Mackenzie Thorpe Centre,SUPP
148341,Outwood Alternative Provision Eston,NE
148804,Progress Schools - Tees Valley,SUPP
146824,Elmbank Learning Centre,SUPP
146220,Frederick Holmes School,SUPP
140904,Ganton School,NE
139628,Tweendykes School,NE
148767,The Becklands School,SUPP
133429,Cambian Beverley School,SUPP
118144,Kings Mill School,NE
118148,Riverside Special School,NE
118145,St Anne's School and Sixth Form College,NE
146333,Sycamore House School,SUPP
137363,Cambridge Park Academy,NE
137394,Humberston Park School,NE
145462,Act Fast NL Ltd,NE
134315,Options Barton,SUPP
121778,Brooklands School,NE
142911,Cambian Spring Hill,SUPP
147298,Clervaux Garden School,SUPP
121771,The Dales School,SUPP
145241,Fenton Grange School,SUPP
147819,The Forest School,NE
121772,Springhead School,NE
121776,Springwater School,NE
135292,Stonegate School,SUPP
121766,Welburn Hall School,NE
139482,The Woodlands Academy,NE
147690,Al Hikmah Boys School,NE
109744,Woodlands Secondary School,NE
135990,Cambian Walnut Tree Lodge School,SUPP
135987,Esland Bedford School,SUPP
144807,E-Spired Centre of Excellence,SUPP
136122,KWS School,SUPP
109742,Ridgeway School,NE
137469,St John's School,NE
109746,The Chiltern School,NE
109739,Ivel Valley School & College,NE
137896,Weatherfield Academy,NE
137934,Alfriston School,NE
135805,Benjamin College,SUPP
142069,The Chalfonts Independent Grammar School,SUPP
110578,Chiltern Wood School,NE
145298,Eton Dorney Independent Therapeutic School,SUPP
110582,Heritage House School,SUPP
148010,International School of Creative Arts,SUPP
110564,Macintyre School,SUPP
131462,The Pace Centre,SUPP
135604,Progress Schools - Buckinghamshire,SUPP
110581,Stocklake Park Community School,NE
142322,Cambian Bletchley Park School,SUPP
148420,KWS Milton Keynes,SUPP
110592,The Redway School,NE
110587,Slated Row School,NE
110584,The Walnuts School,NE
110575,White Spire School,NE
113040,Alfreton Park Community Special School,SUPP
135187,Arnfield Independent School,SUPP
147124,Ashgate Croft School,NE
146052,Bennerley Fields School,NE
113019,Bladon House School,NE
113031,Brackenfield Special School,NE
113026,Eastwood Grange School,SUPP
146058,Holbrook School for Autism,NE
145572,Jasmine House School,SUPP
135241,The Meadows,SUPP
134395,New Direction,SUPP
146053,Peak School,SUPP
132120,Pegasus School,SUPP
147664,R.E.A.L Independent Schools Ilkeston,NE
146054,Stanton Vale School,NE
147627,Stubbin Wood School,NE
147491,Ivy House School,SUPP
148839,Jasmine Hall School,SUPP
134294,Normanton House School,SUPP
147132,St Andrew's Academy,NE
143642,Arbour House School,SUPP
113956,Beaucroft Foundation School,NE
116593,The Forum School,NE
147906,The Luccombe Hub,SUPP
113957,Mountjoy School,SUPP
113950,Purbeck View School,SUPP
113952,Sheiling School,SUPP
113960,Westfield Arts College,NE
138716,Wyvern Academy,NE
113965,Yewstock School,NE
138249,Bournemouth Christian School,SUPP
140067,Longspee Academy,SUPP
137286,Montacute School,SUPP
113942,Portfield School,NE
113955,Winchelsea School,NE
114349,Durham Trinity School & Sports College,NE
136748,Highcroft School,SUPP
138718,Hope Wood Academy,NE
139329,North East Centre for Autism - Aycliffe School,NE
114345,Villa Real School,SUPP
145127,Embleton View,NE
141954,Oakwood Learning Centre,SUPP
135113,Pear Tree School,SUPP
139657,Anderida Learning Centre,SUPP
114682,Chailey Heritage School,SUPP
145116,Compass Community School South,SUPP
139521,Glyne Gap School,NE
114688,Grove Park School,NE
145254,Hazel Court School,NE
134148,Headstart,SUPP
148552,ISP School,SUPP
114660,Owlswick School,SUPP
148035,The Ropemakers' Academy,SUPP
134634,Step by Step School Limited,SUPP
148888,Virtue Therapeutic School Sussex VTSS,SUPP
146036,Brighton and Hove Clinic School,SUPP
114661,Brighton Waldorf School,SUPP
114680,Downs View Special School,NE
114619,Hamilton Lodge School and College for Deaf Children,SUPP
114687,Hill Park School,NE
131356,The Lioncare School,SUPP
148591,South England International School,SUPP
149028,Bere Clinic School,SUPP
116574,Brockwood Park School,NE
147615,Compass Community School Hampshire,SUPP
135823,Forest Park School,SUPP
147655,GLADE School,SUPP
145479,The Green Room School Kingsley,NE
131559,Henry Tyndale School,NE
116565,Hill House School,SUPP
131068,Hollywater School,NE
116609,Icknield School,NE
135105,Jubilee School,SUPP
146774,Kingsgate School,SUPP
116614,Limington House School,NE
116589,The Loddon School,SUPP
116611,Rachel Madocks School,NE
144808,Releasing Potential School,NE
116618,St Francis Special School,NE
116594,St Michael's School,SUPP
131531,Tadley Court School,SUPP
140624,Madani Academy,SUPP
140325,Mary Rose Academy,NE
143828,Redwood Park Academy,NE
116622,The Cedar School,NE
144205,Great Oaks School,NE
139265,Rosewood Free School,SUPP
131556,The Serendipity School,SUPP
148599,Yarrow Heights School,SUPP
139559,ALP Leicester,NE
120352,Ashmount School,NE
142779,ASPIRE: Lifeskills,SUPP
148027,The Cedars,SUPP
144619,Clovelly House School,SUPP
137905,Forest Way School,NE
147858,The Fusion Academy,SUPP
148245,Henry David Learning Woodfield School,SUPP
148424,The Lady Byron School,SUPP
147963,Lodge Farm Education,SUPP
128078,Oakwood Community School,NE
142939,The Place Independent School,SUPP
147607,R.E.A.L Independent Schools Hinckley,SUPP
138935,Wigston Birkett House Community Special School,NE
139734,Woodside Lodge Outdoor Learning Centre,NE
130371,Ellesmere College,NE
147223,Imam Muhammad Adam Institute Boys School,NE
120361,Nether Hall School,NE
131018,The Shires,SUPP
142635,The Shires at Oakham,SUPP
143932,Bluebell School Ltd,SUPP
147780,Compass Community School Staffordshire,SUPP
146981,Heather Field School,SUPP
138243,Hopedale School,SUPP
142013,Ivetsey Bank Hospital School,SUPP
148248,JP Alternative Education,NE
148734,Longridge School,SUPP
143346,The Meadows School,NE
135259,Mortimer House School,NE
132735,Rugeley School,NE
142094,Saxon Hill Academy,NE
140997,Walton Hall Academy,NE
136220,Glebedale School,SUPP
145950,Intuition Holistic Education,SUPP
146497,Kemball School,NE
148131,The Nest,SUPP
124498,Portland School and Specialist College,NE
148829,Want2Achieve The Academy,SUPP
146503,Watermill School,NE
135486,Bishopstrow College,NE
149340,Compass Community School Athelstan Park,SUPP
149019,Coombe House School,SUPP
148176,The Eaves Learning Centre,SUPP
131743,Emmaus School,SUPP
141647,Exeter House Special School,NE
149026,Meadow Bridge School,SUPP
148145,Silverwood School,NE
146166,The Spires,SUPP
126549,Crowdys Hill School,NE
143014,Uplands School,NE
110190,Kennel Lane School,NE
142066,Forest Bridge School,SUPP
110183,Manor Green School,NE
110186,Brookfields Special School,NE
110182,The Castle School,NE
139963,Engaging Potential,SUPP
132003,Priors Court School,SUPP
137435,The Avenue Special School,NE
135995,The Deenway Montessori School,SUPP
137999,Red Balloon Learner Centre Reading,SUPP
145741,Arbour Vale School,NE
148349,Chiltern Way Academy Wokingham,NE
110155,Crosfields School,SUPP
134424,The Vine Christian School,SUPP
110920,Aurora Meldreth Manor School,SUPP
136236,Begdale House School,NE
149027,"Cardiff Sixth Form College, Cambridge",SUPP
142625,Glebe House,SUPP
134937,Granta School,NE
143111,Highfield Ely Academy,NE
108886,Holme Court School,SUPP
147661,The Martin Bacon Academy,SUPP
144055,Meadowgate Academy,NE
133651,The Old School House,SUPP
133570,On Track Education Services Ltd,SUPP
110951,Samuel Pepys School,NE
135380,Shelldene House School,SUPP
142557,Spring Common Academy,NE
139018,The Beeches Independent School,SUPP
110948,Heltwate School,NE
147944,Lime Academy Orton,NE
134893,Park House,SUPP
140578,The Cavendish High Academy,NE
111514,Chesnut Lodge Special School,NE
133485,Halton School,SUPP
138597,Hope Corner School,SUPP
148566,Birchwood School,SUPP
134186,Bright Futures,NE
111498,Chaigeley School,SUPP
111496,Fox Wood Special School,NE
111495,Green Lane Community Special School,NE
135773,Acorn School,SUPP
113643,Bidwell Brook School,NE
133392,Blackford Education (Schools) Ltd t/a the Libra School,SUPP
135803,Cambian Devon School,SUPP
143407,Chances Educational Support Services,NE
148630,The Copper Academy,SUPP
113633,Ellen Tinkham School,NE
113654,Exeter Royal Academy for Deaf Education,SUPP
142763,Highgate Hill House School,NE
146287,K-HQ,SUPP
113637,The Lampard Community School,NE
113635,Mill Water School,NE
113616,Quay View School,NE
143539,Running Deer School,SUPP
141515,School for Inspiring Talents,SUPP
145549,Tor View School,SUPP
113571,Vranch House School,SUPP
148180,The Wildings,SUPP
113645,Cann Bridge School,NE
113650,Longcause Community Special School,NE
113651,Mill Ford School,SUPP
113644,Woodlands School,NE
113641,Mayfield School,NE
148621,Preston Bridge School,SUPP
144378,The Belsteads School,SUPP
141765,Castledon School,NE
146804,Clarity Independent School,SUPP
138122,Columbus School and College,NE
147473,Compass Community School Essex,SUPP
115426,Doucecroft School,NE
115464,The Edith Borthwick School,NE
146601,Endeavour Co-Operative Academy,NE
115469,Glenwood School,NE
131838,Harlow Fields School and College,NE
115475,Lexden Springs School,NE
145987,Oak View School,NE
147704,Omnia Foundation,NE
138219,The Pioneer School,NE
115466,St John's RC School (Essex),NE
115471,Shorefields School,NE
144956,Southview School,NE
135837,Teaseldown School,SUPP
137554,Thriftwood School,NE
148422,The Tower School,SUPP
134398,The Yellow House School,SUPP
134940,Estuary High School,SUPP
144693,Lancaster School,NE
142940,Sutton House Academy,SUPP
138736,Beacon Hill Academy,SUPP
148539,Treetops Free School,SUPP
139607,Barrs Court School,NE
117048,Cambian Hereford School,SUPP
147220,Compass Community School Hereford,SUPP
144717,Hidelow Grange School,SUPP
117042,Rowden House School,SUPP
117055,Westfield School,SUPP
142833,Bridge School Malvern,SUPP
117062,Chadsgrove School,NE
148587,Compass Community School Vicarage Park,SUPP
143106,Gloverspiece School,SUPP
148156,Lokrum Fields,SUPP
147465,Nurture Learning,SUPP
136260,Our Place School,SUPP
117056,Pitcheroak School,NE
140261,Regency High School,NE
140397,Riversides School,SUPP
117033,Sunfield Children's Home Ltd,SUPP
148347,Vale of Evesham School,NE
135791,Wyre Forest School,NE
135198,The Annex School House,SUPP
131181,Beech Grove School,NE
145064,Cherry Tree,NE
135510,Compass Community School Coastal Park,SUPP
146521,Cornfields School,NE
135623,Fairlight Glen Independent Special School,SUPP
119041,Foreland Fields School,NE
131780,Greenfields School,SUPP
149146,Haven Nook,SUPP
119040,Ifield School,NE
147635,Infiniti School,SUPP
149070,King's Reach Education,SUPP
119013,Learning Opportunities Centre Secondary,SUPP
148860,Life Skills Manor,SUPP
142859,The Llewellyn School and Nursery,SUPP
134783,Meadowfield School,NE
137883,Milestone Academy,NE
119050,Nexus Foundation Special School,NE
132148,Oakley School,NE
131422,The Old Priory School,SUPP
144475,Parkview Academy,SUPP
138408,Pier View Academy,SUPP
134605,The Quest School,SUPP
119059,St Nicholas' School,NE
137795,The Sallygate School,NE
135018,Small Haven School,SUPP
119056,Stone Bay School,NE
147034,The View School,SUPP
147205,VTC Independent School,SUPP
131748,The Wyvern School (Buxford),NE
119052,Abbey Court Foundation Special School,NE
135576,Blue Skies School,SUPP
142411,Manorway Independent School,SUPP
142333,Austen House,SUPP
119861,Bleasdale School,SUPP
136069,Brook View School,SUPP
141864,Cambian Red Rose School,SUPP
119877,Chorley Astley Park School,NE
119893,The Coppice School,SUPP
119878,Great Arley School,NE
131479,Hillside Specialist School and College,NE
143041,Hope School,SUPP
119887,Kirkham Pear Tree School,SUPP
143858,Lincoln House School,SUPP
145242,Linton School,SUPP
119892,The Loyne Specialist School,SUPP
119889,Mayfield School,NE
138868,Meadow View Learning Centre,SUPP
146030,The Nook School,SUPP
131575,Oliver House School,SUPP
148056,Pioneer TEC,SUPP
148838,Poplar House School,SUPP
131138,Progress School,SUPP
131163,Red Rose School,NE
135013,Ridgewood Community High School,NE
145296,Rosa House School,SUPP
135346,Sir Tom Finney Community High School,NE
119897,Thornton-Cleveleys Red Marsh School,SUPP
143879,Tor View School,NE
143936,Wood Edge Independent School,SUPP
146899,Crosshill Special School,NE
132051,Newfield School,NE
148646,BFC School,NE
119868,Highfurlong School,NE
149017,Lancashire Alternative Provision,NE
130902,Spen Brook School,SUPP
119871,Woodlands School,NE
145949,APTCOO - A Place to Call Our Own,SUPP
122957,Ash Lea School,NE
131536,Blue Mountain Education,SUPP
122961,Bracken Hill School,NE
122953,Carlton Digby School,NE
149430,Fountaindale School,SUPP
135393,Hope House School,SUPP
130996,Newark Orchard School,NE
139603,R.E.A.L Independent Schools,SUPP
122955,St Giles School,NE
147949,Venture Learning,SUPP
144643,Yeoman Park Academy,NE
137915,Nethergate Academy,NE
135573,Oak Field School,NE
122964,Rosehill School,NE
145129,Take 1 Learning Centre,NE
138875,Amberleigh Therapeutic School,SUPP
131171,Darwin School,SUPP
148831,The Fitzroy Academy,SUPP
145468,The Mews,SUPP
135445,Options Higford,SUPP
146340,Overton School,SUPP
138580,Physis Academy,SUPP
148041,Westbury School,SUPP
146350,Aspris Telford School,SUPP
123635,The Bridge at HLC,NE
144404,The Retreat,SUPP
148556,Rodenhurst School,SUPP
146164,The Seeds School,NE
148047,Compass Community Cledford Park,SUPP
111499,David Lewis School,SUPP
143531,Eden School,SUPP
147896,Lavender Field School,SUPP
147660,Norbury Court School,SUPP
111508,Park Lane School,SUPP
111507,Springfield School,NE
147951,Abbey School for Exceptional Children,SUPP
111494,Dee Banks School,NE
111511,Dorin Park School & Specialist SEN College,NE
111505,Hebden Green Community School,NE
131792,iMap Centre,SUPP
142332,Jefferson House,SUPP
147737,Maple Grove School,NE
142302,The Russett School,SUPP
143166,Curnow School,NE
143173,Doubletrees School,SUPP
148497,Fountain Head House School,SUPP
148342,The Lowen School,SUPP
143167,Nancealverne School,NE
148038,Red Moor School,SUPP
112082,St Piran's School (Gb) Ltd,SUPP
135405,Taliesin Education Ltd,SUPP
115808,The Acorn School,SUPP
115821,Bettridge School,NE
139772,Edward Jenner School,NE
134190,Heart of the Forest Community Special School,NE
147116,The Milestone School,NE
146519,Norton College Tewkesbury,NE
147158,Paternoster School,NE
115813,St Rose's Special School,SUPP
115823,The Shrubberies School,SUPP
149083,William Morris School,SUPP
143018,Wotton House International School Gloucestershire,SUPP
117684,Amwell View School,NE
117681,Breakspeare School,SUPP
117672,The Collett School,NE
145962,Elysium Healthcare Potters Bar Clinic School,SUPP
117690,Greenside School,SUPP
145890,Katherine Warington School,SUPP
117680,Lakeside School,SUPP
117679,Lonsdale School,NE
141251,Pinewood School,NE
117646,Radlett Lodge School,NE
144726,Rhodes Wood Hospital School,NE
117665,St Elizabeth's School,SUPP
117671,St Luke's School,NE
117683,Watling View School,SUPP
117682,Woodfield School,SUPP
118227,St George's School,NE
142136,Aegir - A Specialist Academy,NE
148189,Aspiration House School,SUPP
142666,Boston Endeavour Academy,NE
145932,Build a Future Independent School,NE
148827,Compass Community School Lincolnshire,SUPP
139625,"The Eresby School, Spilsby",NE
147703,Esland Grantham School,SUPP
141254,The Grantham Sandon School,SUPP
148356,Holton Sleaford Independent School,NE
120740,Kisimul School,SUPP
120754,The Lincoln St Christopher's School,NE
142309,St Bernard's School,NE
120755,"The St Francis Special School, Lincoln",NE
142308,St Lawrence School,NE
142667,Tulip Academy,NE
147414,Willoughby Academy,NE
146971,Witham Prospect School,SUPP
146626,Argyll House,NE
148346,Banks House School,SUPP
121260,Chapel Green School,NE
145529,Churchill Park Complex Needs School,NE
121261,The Clare School,NE
121256,Fred Nicholson School,NE
121257,Hall School,SUPP
121264,"Harford Manor School, Norwich",NE
121265,"John Grant School, Caister-on-Sea",NE
145159,Kingsbrook School,SUPP
129511,Norwich Steiner School,NE
138779,Novaturient School,SUPP
121262,"The Parkside School, Norwich",NE
135250,Red Balloon - Norwich,SUPP
121258,Sheringham Woodfields School,NE
121254,Sidestrand Hall School,NE
138880,Turnstone House School,SUPP
122384,Barndale House School,SUPP
145184,Buzz Learning Independent Specialist School,NE
122383,Cramlington Hillcrest School,NE
122385,The Grove Special School,NE
146121,Hexham Priory School,NE
145957,NCEA Castle School,SUPP
147980,Rosewood Independent School,SUPP
146683,Bardwell School,NE
123345,Bishopswood School,NE
139997,Carfax College,SUPP
140217,"Endeavour Academy, Oxford",SUPP
139322,Fitzwaryn School,NE
123332,Frank Wise School,NE
139312,The Iffley Academy,NE
123333,John Watson School,NE
139079,Kingfisher School,NE
147821,Mabel Prichard School,NE
133430,"St Clare's, Oxford",NE
147127,Springfield School,NE
134909,3 Dimensions,SUPP
148006,Abbot's Way School,SUPP
123945,Avalon School,NE
149220,Chilton Bridge School,SUPP
147126,Critchill Special School,NE
149071,Dovecote School,NE
123944,Fiveways Special School,SUPP
135735,Inaura School,SUPP
131016,Newbury Manor School,NE
145293,The Orchard School,SUPP
145308,Park House School,SUPP
135673,Petherton Park School,SUPP
123938,Polden Bower School,NE
146698,Selworthy Special School,NE
147705,Silver Bridge School,SUPP
148378,The Sky Academy,NE
133527,Somerset Progressive School,NE
147162,The Bridge School,NE
135252,Broadlands Hall,SUPP
130855,Gable End,SUPP
124903,Hillside Special School,SUPP
146418,Riverwalk School,NE
143911,The Ryes College,SUPP
141407,Stone Lodge Academy,NE
137838,Thomas Wolsey Ormiston Academy,NE
146431,Warren School,SUPP
148058,Wetheringsett Manor School,SUPP
146338,Arun Court,SUPP
144730,Aurora Redehall School,SUPP
145169,The Beech House School,SUPP
148736,Burstow Park School,SUPP
134902,The Children's Trust School,NE
125470,Clifton Hill School,NE
147789,Elysian Animal Assisted Therapy and Learning CIC,SUPP
125477,Freemantles School,NE
125452,Gosden House School,NE
131976,Jigsaw CABAS School,SUPP
144233,Linden Bridge School,NE
135407,Papillon House,SUPP
141533,Pond Meadow School,NE
125474,Portesbery School,NE
141843,The Ridgeway School,SUPP
125456,St Joseph's Specialist Trust,NE
125453,St Piers School,SUPP
146660,Serenity School,SUPP
125468,Walton Leigh School,NE
142416,Wemms Education Centre,NE
125469,Woodlands School,NE
145470,Brickyard Barn Outdoor Learning Centre,SUPP
148732,The Emscote School,NE
125805,Evergreen School,NE
148828,The Haven School Wolston,SUPP
148398,Mill House School,SUPP
139469,Oak Wood Secondary School,NE
137597,Values Academy,NE
144633,Venture Academy,SUPP
148032,VLC,NE
