URN,SchoolName,LocalAuthority,County,Postcode,Attainment8,Year,LSOA,District
139167,Silverdale School,Sheffield,South Yorkshire,S119QH,56.6,2022-2023,Sheffield 055A,SHEFFIELD
145274,Stocksbridge High School,Sheffield,South Yorkshire,S361FD,42.5,2022-2023,Sheffield 001B,SHEFFIELD
138069,Tapton School,Sheffield,South Yorkshire,S105RG,56.6,2022-2023,Sheffield 033C,SHEFFIELD
139695,UTC Sheffield City Centre,Sheffield,South Yorkshire,S14QF,43.5,2022-2023,Sheffield 042G,SHEFFIELD
142605,UTC Sheffield Olympic Legacy Park,Sheffield,South Yorkshire,S93TU,45.6,2022-2023,Sheffield 022G,SHEFFIELD
107162,Westbourne School,Sheffield,South Yorkshire,S102QT,62.9,2022-2023,Sheffield 036A,SHEFFIELD
145562,Westfield School,Sheffield,South Yorkshire,S201HQ,40.3,2022-2023,Sheffield 065F,SHEFFIELD
145943,Yewlands Academy,Sheffield,South Yorkshire,S358NN,40.7,2022-2023,Sheffield 009G,SHEFFIELD
134429,Al Mumin Primary and Secondary School,Bradford,West Yorkshire,BD87DA,43.7,2022-2023,Bradford 039J,BRADFORD
145173,Appleton Academy,Bradford,West Yorkshire,BD128AL,38.4,2022-2023,Bradford 061A,BRADFORD
143112,Beckfoot Oakbank,Bradford,West Yorkshire,BD227DU,36.5,2022-2023,Bradford 012A,BRADFORD
139975,Beckfoot School,Bradford,West Yorkshire,BD161EE,51.2,2022-2023,Bradford 022G,BRADFORD
143114,Beckfoot Thornton,Bradford,West Yorkshire,BD133BH,39.4,2022-2023,Bradford 043A,BRADFORD
142031,Beckfoot Upper Heaton,Bradford,West Yorkshire,BD96AL,36.9,2022-2023,Bradford 030B,BRADFORD
135229,Beechcliffe Special School,Bradford,West Yorkshire,BD206ED,1,2022-2023,Bradford 007B,BRADFORD
138087,Belle Vue Girls' Academy,Bradford,West Yorkshire,BD96NA,45.3,2022-2023,Bradford 030A,BRADFORD
107439,Bingley Grammar School,Bradford,West Yorkshire,BD162RS,46.9,2022-2023,Bradford 015A,BRADFORD
135367,Bradford Academy,Bradford,West Yorkshire,BD47QJ,33.8,2022-2023,Bradford 053A,BRADFORD
107461,Bradford Christian School,Bradford,West Yorkshire,BD21BT,34.1,2022-2023,Bradford 024E,BRADFORD
140429,Bradford Forster Academy,Bradford,West Yorkshire,BD48RG,32,2022-2023,Bradford 046A,BRADFORD
140204,Bradford Girls' Grammar School,Bradford,West Yorkshire,BD96RB,51.7,2022-2023,Bradford 037B,BRADFORD
107455,Bradford Grammar School,Bradford,West Yorkshire,BD94JP,27.9,2022-2023,Bradford 034C,BRADFORD
142825,Buttershaw Business & Enterprise College Academy,Bradford,West Yorkshire,BD63PX,35.6,2022-2023,Bradford 055E,BRADFORD
147100,Carlton Bolling,Bradford,West Yorkshire,BD30DU,41.5,2022-2023,Bradford 035B,BRADFORD
136198,Carlton Keighley,Bradford,West Yorkshire,BD206EB,39.2,2022-2023,Bradford 007B,BRADFORD
147177,Co-op Academy Grange,Bradford,West Yorkshire,BD59ET,33.1,2022-2023,Bradford 050C,BRADFORD
134140,Darul Uloom Dawatul Imaan,Bradford,West Yorkshire,BD49PH,60.5,2022-2023,Bradford 046D,BRADFORD
135866,Dixons Allerton Academy,Bradford,West Yorkshire,BD80DH,42.8,2022-2023,Bradford 040B,BRADFORD
130909,Dixons City Academy,Bradford,West Yorkshire,BD57RR,54.5,2022-2023,Bradford 048B,BRADFORD
146198,Dixons Cottingley Academy,Bradford,West Yorkshire,BD161TZ,45.1,2022-2023,Bradford 022G,BRADFORD
137277,Dixons Kings Academy,Bradford,West Yorkshire,BD72AN,52.3,2022-2023,Bradford 041A,BRADFORD
141002,Dixons McMillan Academy,Bradford,West Yorkshire,BD50JD,47.7,2022-2023,Bradford 048C,BRADFORD
138251,Dixons Trinity Academy,Bradford,West Yorkshire,BD50BE,54.9,2022-2023,Bradford 048C,BRADFORD
145499,Eden Springs Girls Secondary,Bradford,West Yorkshire,BD57PE,57.1,2022-2023,Bradford 051B,BRADFORD
136189,Eternal Light,Bradford,West Yorkshire,BD59DH,51.1,2022-2023,Bradford 051C,BRADFORD
136962,Feversham Girls' Secondary Academy,Bradford,West Yorkshire,BD30LT,52.8,2022-2023,Bradford 035C,BRADFORD
134587,The Fountain School,Bradford,West Yorkshire,BD58BP,55.4,2022-2023,Bradford 053C,BRADFORD
149011,Hanson Academy,Bradford,West Yorkshire,BD21JP,32.2,2022-2023,Bradford 028A,BRADFORD
149299,"The Holy Family Catholic School, a Voluntary Academy",Bradford,West Yorkshire,BD206LH,32.2,2022-2023,Bradford 007D,BRADFORD
136905,Ilkley Grammar School,Bradford,West Yorkshire,LS298TR,53.3,2022-2023,Bradford 001D,BRADFORD
142590,Immanuel College,Bradford,West Yorkshire,BD109AQ,46,2022-2023,Bradford 017C,BRADFORD
107460,Jaamiatul Imaam Muhammad Zakaria,Bradford,West Yorkshire,BD146JX,43.6,2022-2023,Bradford 047E,BRADFORD
142681,Laisterdyke Leadership Academy,Bradford,West Yorkshire,BD38HE,31.7,2022-2023,Bradford 038B,BRADFORD
139995,Oasis Academy Lister Park,Bradford,West Yorkshire,BD87ND,36.7,2022-2023,Bradford 034C,BRADFORD
138099,Oastlers School,Bradford,West Yorkshire,BD47RH,13.2,2022-2023,Bradford 045B,BRADFORD
139474,One In A Million Free School,Bradford,West Yorkshire,BD87DX,35,2022-2023,Bradford 039J,BRADFORD
132217,Parkside School,Bradford,West Yorkshire,BD135AD,39,2022-2023,Bradford 031B,BRADFORD
140569,St Bede's and St Joseph's Catholic College,Bradford,West Yorkshire,BD94BQ,44.7,2022-2023,Bradford 029A,BRADFORD
107395,Titus Salt School,Bradford,West Yorkshire,BD175RH,41.8,2022-2023,Bradford 018B,BRADFORD
142761,Tong Leadership Academy,Bradford,West Yorkshire,BD46NR,38.2,2022-2023,Bradford 057C,BRADFORD
148545,Trinity Academy Bradford,Bradford,West Yorkshire,BD132AS,40.8,2022-2023,Bradford 058F,BRADFORD
136604,Brighouse High School,Calderdale,West Yorkshire,HD62NY,42.7,2022-2023,Calderdale 019A,CALDERDALE
131960,Broadwood School,Calderdale,West Yorkshire,HX20RU,6.4,2022-2023,Calderdale 009A,CALDERDALE
137521,The Brooksbank School,Calderdale,West Yorkshire,HX50QG,43.6,2022-2023,Calderdale 025F,CALDERDALE
107562,The Calder Learning Trust,Calderdale,West Yorkshire,HX75QN,48.4,2022-2023,Calderdale 007A,CALDERDALE
148059,Compass Community School Willow Park,Calderdale,West Yorkshire,HX62BU,4,2022-2023,Calderdale 017F,CALDERDALE
139182,The Crossley Heath School,Calderdale,West Yorkshire,HX30HG,69.3,2022-2023,Calderdale 016B,CALDERDALE
140326,The Halifax Academy,Calderdale,West Yorkshire,HX20BA,44.7,2022-2023,Calderdale 010C,CALDERDALE
107585,Hipperholme Grammar School,Calderdale,West Yorkshire,HX38JE,56.6,2022-2023,Calderdale 011C,CALDERDALE
137036,Lightcliffe Academy,Calderdale,West Yorkshire,HX38TL,41,2022-2023,Calderdale 015C,CALDERDALE
136788,The North Halifax Grammar School,Calderdale,West Yorkshire,HX29SU,67.9,2022-2023,Calderdale 001D,CALDERDALE
143115,Park Lane Academy,Calderdale,West Yorkshire,HX39LG,30.1,2022-2023,Calderdale 018E,CALDERDALE
137444,Rastrick High School,Calderdale,West Yorkshire,HD63XB,46.1,2022-2023,Calderdale 024D,CALDERDALE
107583,Rishworth School,Calderdale,West Yorkshire,HX64QA,29.4,2022-2023,Calderdale 027D,CALDERDALE
141307,Ryburn Valley High School,Calderdale,West Yorkshire,HX61DF,46.9,2022-2023,Calderdale 020C,CALDERDALE
107564,Todmorden High School,Calderdale,West Yorkshire,OL147DG,45.5,2022-2023,Calderdale 013E,CALDERDALE
144946,Trinity Academy Grammar,Calderdale,West Yorkshire,HX62NW,39.9,2022-2023,Calderdale 017B,CALDERDALE
136094,Trinity Academy Halifax,Calderdale,West Yorkshire,HX29TZ,47.9,2022-2023,Calderdale 001D,CALDERDALE
107589,The William Henry Smith School and Sixth Form,Calderdale,West Yorkshire,HD63JW,4.8,2022-2023,Calderdale 024C,CALDERDALE
107782,All Saints Catholic College,Kirklees,West Yorkshire,HD22JT,47,2022-2023,Kirklees 022C,KIRKLEES
137424,Batley Girls' High School,Kirklees,West Yorkshire,WF170LD,47.8,2022-2023,Kirklees 006E,KIRKLEES
137487,Batley Grammar School,Kirklees,West Yorkshire,WF170AD,43.8,2022-2023,Kirklees 006B,KIRKLEES
138111,BBG Academy,Kirklees,West Yorkshire,BD194BE,48.1,2022-2023,Kirklees 001A,KIRKLEES
132732,Brian Jackson College,Kirklees,West Yorkshire,WF160AD,0.9,2022-2023,Kirklees 011G,KIRKLEES
142330,Cambridge Street School,Kirklees,West Yorkshire,WF175QW,27.4,2022-2023,Kirklees 010B,KIRKLEES
146367,Castle Hall Academy,Kirklees,West Yorkshire,WF149PH,42.3,2022-2023,Kirklees 026B,KIRKLEES
140660,Colne Valley High School,Kirklees,West Yorkshire,HD75SP,44,2022-2023,Kirklees 049A,KIRKLEES
136283,Heckmondwike Grammar School,Kirklees,West Yorkshire,WF160AH,77.1,2022-2023,Kirklees 011G,KIRKLEES
107769,Holmfirth High School,Kirklees,West Yorkshire,HD97SE,55.3,2022-2023,Kirklees 059F,KIRKLEES
146906,Honley High School,Kirklees,West Yorkshire,HD96QJ,51.5,2022-2023,Kirklees 053A,KIRKLEES
107786,Huddersfield Grammar School,Kirklees,West Yorkshire,HD14QX,60.2,2022-2023,Kirklees 039B,KIRKLEES
143227,Joseph Norton Academy,Kirklees,West Yorkshire,HD89JU,3.8,2022-2023,Kirklees 057A,KIRKLEES
138706,King James's School,Kirklees,West Yorkshire,HD46SG,48.2,2022-2023,Kirklees 044B,KIRKLEES
107794,Madni Academy,Kirklees,West Yorkshire,WF129AY,47.3,2022-2023,Kirklees 024F,KIRKLEES
139076,Manor Croft Academy,Kirklees,West Yorkshire,WF127DW,51.1,2022-2023,Kirklees 018F,KIRKLEES
136674,The Mirfield Free Grammar,Kirklees,West Yorkshire,WF149EZ,49,2022-2023,Kirklees 021C,KIRKLEES
137500,Moor End Academy,Kirklees,West Yorkshire,HD45JA,48,2022-2023,Kirklees 047D,KIRKLEES
107756,Netherhall Learning Campus High School,Kirklees,West Yorkshire,HD59PG,40.4,2022-2023,Kirklees 035A,KIRKLEES
147888,Newsome Academy,Kirklees,West Yorkshire,HD46JN,41,2022-2023,Kirklees 048C,KIRKLEES
136502,North Huddersfield Trust School,Kirklees,West Yorkshire,HD21DJ,40.9,2022-2023,Kirklees 029B,KIRKLEES
144857,Pivot Academy,Kirklees,West Yorkshire,HD21GN,3.2,2022-2023,Kirklees 022C,KIRKLEES
107799,Ravenshall School,Kirklees,West Yorkshire,WF129EE,0.6,2022-2023,Kirklees 023E,KIRKLEES
144811,Rida Girls High School,Kirklees,West Yorkshire,WF129LX,62.8,2022-2023,Kirklees 024B,KIRKLEES
146327,"Royds Hall,  A Share Academy",Kirklees,West Yorkshire,HD34HA,40.2,2022-2023,Kirklees 039D,KIRKLEES
141470,St John Fisher Catholic Voluntary Academy,Kirklees,West Yorkshire,WF134LL,34.8,2022-2023,Kirklees 017E,KIRKLEES
137869,Salendine Nook High School Academy,Kirklees,West Yorkshire,HD34GN,51.3,2022-2023,Kirklees 038C,KIRKLEES
137352,"Shelley College, A Share Academy",Kirklees,West Yorkshire,HD88NL,50.7,2022-2023,Kirklees 056A,KIRKLEES
107801,Southgate School,Kirklees,West Yorkshire,HD58TG,0.6,2022-2023,Kirklees 040A,KIRKLEES
107778,Spen Valley High School,Kirklees,West Yorkshire,WF157LX,36.2,2022-2023,Kirklees 015A,KIRKLEES
146365,"Thornhill Community Academy, A Share Academy",Kirklees,West Yorkshire,WF120HE,44.7,2022-2023,Kirklees 028E,KIRKLEES
142406,Upper Batley High School,Kirklees,West Yorkshire,WF170BJ,43.8,2022-2023,Kirklees 010B,KIRKLEES
107775,Westborough High School,Kirklees,West Yorkshire,WF132JE,43.4,2022-2023,Kirklees 016C,KIRKLEES
149162,"Whitcliffe Mount, A Share Academy",Kirklees,West Yorkshire,BD193AQ,43,2022-2023,Kirklees 005D,KIRKLEES
137083,Abbey Grange Church of England Academy,Leeds,West Yorkshire,LS165EA,55.6,2022-2023,Leeds 033E,LEEDS
108058,Allerton Grange School,Leeds,West Yorkshire,LS176SF,43.9,2022-2023,Leeds 023B,LEEDS
108057,Allerton High School,Leeds,West Yorkshire,LS177AG,57.1,2022-2023,Leeds 018C,LEEDS
108083,Benton Park School,Leeds,West Yorkshire,LS196LX,45.4,2022-2023,Leeds 014B,LEEDS
144809,Bishop Young Church of England Academy,Leeds,West Yorkshire,LS146NU,35,2022-2023,Leeds 040E,LEEDS
146217,Boston Spa Academy,Leeds,West Yorkshire,LS236RW,54.8,2022-2023,Leeds 005A,LEEDS
143238,Brigshaw High School,Leeds,West Yorkshire,WF102HR,45.6,2022-2023,Leeds 103B,LEEDS
108123,Broomfield South SILC,Leeds,West Yorkshire,LS103JP,2.4,2022-2023,Leeds 094D,LEEDS
142056,Bruntcliffe Academy,Leeds,West Yorkshire,LS270LZ,50,2022-2023,Leeds 106A,LEEDS
108095,Cardinal Heenan Catholic High School,Leeds,West Yorkshire,LS64QE,55.2,2022-2023,Leeds 025A,LEEDS
108059,Carr Manor Community School,Leeds,West Yorkshire,LS175DJ,47.6,2022-2023,Leeds 025A,LEEDS
145927,Cockburn John Charles Academy,Leeds,West Yorkshire,LS102JU,44.8,2022-2023,Leeds 092A,LEEDS
142585,Cockburn School,Leeds,West Yorkshire,LS115TT,48.1,2022-2023,Leeds 091E,LEEDS
137065,Co-op Academy Leeds,Leeds,West Yorkshire,LS97HD,27.9,2022-2023,Leeds 064E,LEEDS
144588,Co-op Academy Priesthorpe,Leeds,West Yorkshire,LS285SG,46.3,2022-2023,Leeds 066B,LEEDS
148294,"Corpus Christi Catholic College, A Voluntary Academy",Leeds,West Yorkshire,LS90TT,38.5,2022-2023,Leeds 072C,LEEDS
138304,Crawshaw Academy,Leeds,West Yorkshire,LS289HU,43.5,2022-2023,Leeds 079A,LEEDS
144743,Dixons Trinity Chapeltown,Leeds,West Yorkshire,LS74AW,48.6,2022-2023,Leeds 042E,LEEDS
146363,Dixons Unity Academy,Leeds,West Yorkshire,LS123DS,30.9,2022-2023,Leeds 078B,LEEDS
137577,The Farnley Academy,Leeds,West Yorkshire,LS125EU,50.5,2022-2023,Leeds 083D,LEEDS
108117,Fulneck School,Leeds,West Yorkshire,LS288DS,37.6,2022-2023,Leeds 076B,LEEDS
136343,Garforth Academy,Leeds,West Yorkshire,LS251LJ,50.7,2022-2023,Leeds 087D,LEEDS
108104,Gateways School,Leeds,West Yorkshire,LS179LE,46.1,2022-2023,Leeds 006A,LEEDS
108113,The Grammar School At Leeds,Leeds,West Yorkshire,LS178GS,44.6,2022-2023,Leeds 012B,LEEDS
148654,Green Meadows Academy,Leeds,West Yorkshire,LS208LS,8,2022-2023,Leeds 008D,LEEDS
108085,Guiseley School,Leeds,West Yorkshire,LS208DT,52,2022-2023,Leeds 009C,LEEDS
137775,Horsforth School,Leeds,West Yorkshire,LS185RF,57.6,2022-2023,Leeds 021C,LEEDS
108119,John Jamieson School,Leeds,West Yorkshire,LS82PW,0.6,2022-2023,Leeds 037C,LEEDS
148793,John Smeaton Academy,Leeds,West Yorkshire,LS158TA,34.9,2022-2023,Leeds 057E,LEEDS
108055,Lawnswood School,Leeds,West Yorkshire,LS165AG,42.7,2022-2023,Leeds 109A,LEEDS
139646,Leeds City Academy,Leeds,West Yorkshire,LS62LG,35.7,2022-2023,Leeds 110E,LEEDS
136826,Leeds East Academy,Leeds,West Yorkshire,LS146TY,37.3,2022-2023,Leeds 050B,LEEDS
139773,Leeds Jewish Free School,Leeds,West Yorkshire,LS177TN,42.1,2022-2023,Leeds 018A,LEEDS
135935,Leeds West Academy,Leeds,West Yorkshire,LS131DQ,39,2022-2023,Leeds 052B,LEEDS
138380,Lighthouse School Leeds,Leeds,West Yorkshire,LS166QB,0.2,2022-2023,Leeds 019B,LEEDS
135771,Luminate Education Group,Leeds,West Yorkshire,LS31AA,20.8,2022-2023,Leeds 063B,LEEDS
136392,The Morley Academy,Leeds,West Yorkshire,LS270PD,58.2,2022-2023,Leeds 104B,LEEDS
108097,Mount St Mary's Catholic High School,Leeds,West Yorkshire,LS98LA,49,2022-2023,Leeds 075E,LEEDS
137704,Otley Prince Henry's Grammar School Specialist Language College,Leeds,West Yorkshire,LS212BB,54.4,2022-2023,Leeds 003C,LEEDS
148527,Oulton Academy,Leeds,West Yorkshire,LS268EX,51,2022-2023,Leeds 100D,LEEDS
146339,The Pivot Academy LS East,Leeds,West Yorkshire,LS146UF,5.8,2022-2023,Leeds 061A,LEEDS
108079,Pudsey Grammar School,Leeds,West Yorkshire,LS287ND,46.7,2022-2023,Leeds 079E,LEEDS
108075,Ralph Thoresby School,Leeds,West Yorkshire,LS167RX,43,2022-2023,Leeds 017A,LEEDS
138336,Rodillian Academy,Leeds,West Yorkshire,WF33PS,45.8,2022-2023,Leeds 105D,LEEDS
108076,Roundhay School,Leeds,West Yorkshire,LS81ND,51.8,2022-2023,Leeds 032B,LEEDS
140565,The Ruth Gorse Academy,Leeds,West Yorkshire,LS101HW,48.8,2022-2023,Leeds 112D,LEEDS
139351,"St. Mary's Menston, a Catholic Voluntary Academy",Leeds,West Yorkshire,LS296AE,57.2,2022-2023,Leeds 008D,LEEDS
