URN,SchoolName,LocalAuthority,County,Postcode,Attainment8,Year,LSOA,District
146501,Astrea Academy Dearne,Barnsley,South Yorkshire,S639EW,37,2022-2023,Barnsley 022B,BARNSLEY
131749,Barnsley Academy,Barnsley,South Yorkshire,S703DL,41.8,2022-2023,Barnsley 018A,BARNSLEY
130524,Barnsley College,Barnsley,South Yorkshire,S702YW,5.7,2022-2023,Barnsley 013B,BARNSLEY
146320,Darton Academy,Barnsley,South Yorkshire,S755EF,49.8,2022-2023,Barnsley 005C,BARNSLEY
144606,Holy Trinity Catholic and Church of England School,Barnsley,South Yorkshire,S712LF,37.1,2022-2023,Barnsley 007E,BARNSLEY
146455,Horizon Community College,Barnsley,South Yorkshire,S706PD,49.8,2022-2023,Barnsley 012F,BARNSLEY
140979,Kirk Balk Academy,Barnsley,South Yorkshire,S749HX,50.7,2022-2023,Barnsley 028B,BARNSLEY
143907,Netherwood Academy,Barnsley,South Yorkshire,S738FE,42.3,2022-2023,Barnsley 023B,BARNSLEY
139210,Outwood Academy Carlton,Barnsley,South Yorkshire,S713EW,41.6,2022-2023,Barnsley 002B,BARNSLEY
139211,Outwood Academy Shafton,Barnsley,South Yorkshire,S728RE,40.2,2022-2023,Barnsley 003B,BARNSLEY
106653,Penistone Grammar School,Barnsley,South Yorkshire,S367BX,55.8,2022-2023,Barnsley 016D,BARNSLEY
106965,The Robert Ogden School,Barnsley,South Yorkshire,S630BG,2.8,2022-2023,Barnsley 014F,BARNSLEY
141563,Springwell Special Academy,Barnsley,South Yorkshire,S712AY,9.3,2022-2023,Barnsley 007E,BARNSLEY
138314,Armthorpe Academy,Doncaster,South Yorkshire,DN32DA,38,2022-2023,Doncaster 014B,DONCASTER
137066,Ash Hill Academy,Doncaster,South Yorkshire,DN76JH,42.1,2022-2023,Doncaster 006B,DONCASTER
146370,Astrea Academy Woodfields,Doncaster,South Yorkshire,DN48ND,36.2,2022-2023,Doncaster 028A,DONCASTER
138116,Campsmount Academy,Doncaster,South Yorkshire,DN69AS,41.6,2022-2023,Doncaster 002G,DONCASTER
135942,De Warenne Academy,Doncaster,South Yorkshire,DN123JY,46.9,2022-2023,Doncaster 035C,DONCASTER
137472,Don Valley Academy,Doncaster,South Yorkshire,DN59DD,47.3,2022-2023,Doncaster 012D,DONCASTER
147838,Doncaster UTC,Doncaster,South Yorkshire,DN13BF,45.2,2022-2023,Doncaster 022E,DONCASTER
137842,Hall Cross Academy,Doncaster,South Yorkshire,DN12HY,49.6,2022-2023,Doncaster 019D,DONCASTER
136672,The Hayfield School,Doncaster,South Yorkshire,DN93HG,52.2,2022-2023,Doncaster 038A,DONCASTER
106812,Hill House School,Doncaster,South Yorkshire,DN93GG,36.4,2022-2023,Doncaster 038A,DONCASTER
137899,Hungerhill School,Doncaster,South Yorkshire,DN32JY,51.6,2022-2023,Doncaster 011D,DONCASTER
146639,The Laurel Academy,Doncaster,South Yorkshire,S649SD,42.5,2022-2023,Doncaster 020A,DONCASTER
140865,The McAuley Catholic High School,Doncaster,South Yorkshire,DN33QF,44.9,2022-2023,Doncaster 026E,DONCASTER
140816,North Bridge Enterprise College,Doncaster,South Yorkshire,DN45JW,1,2022-2023,Doncaster 019A,DONCASTER
135963,Outwood Academy Adwick,Doncaster,South Yorkshire,DN67SF,39.7,2022-2023,Doncaster 009A,DONCASTER
143938,Outwood Academy Danum,Doncaster,South Yorkshire,DN25QD,42.9,2022-2023,Doncaster 018C,DONCASTER
137603,Ridgewood School,Doncaster,South Yorkshire,DN57UB,46.8,2022-2023,Doncaster 016C,DONCASTER
136675,Rossington All Saints Academy,Doncaster,South Yorkshire,DN110BZ,44,2022-2023,Doncaster 036B,DONCASTER
144364,Sir Thomas Wharton Academy,Doncaster,South Yorkshire,DN121HH,49.7,2022-2023,Doncaster 034A,DONCASTER
135007,Trinity Academy,Doncaster,South Yorkshire,DN85BY,42.4,2022-2023,Doncaster 003B,DONCASTER
143916,XP East,Doncaster,South Yorkshire,DN45NG,41.3,2022-2023,Doncaster 019A,DONCASTER
140964,XP School,Doncaster,South Yorkshire,DN45NG,41.2,2022-2023,Doncaster 019A,DONCASTER
142768,Abbey School,Rotherham,South Yorkshire,S612RA,10.6,2022-2023,Rotherham 015E,ROTHERHAM
146571,Abbeywood School,Rotherham,South Yorkshire,S668QN,13.3,2022-2023,Rotherham 018A,ROTHERHAM
136718,Aston Academy,Rotherham,South Yorkshire,S264SF,43.9,2022-2023,Rotherham 026A,ROTHERHAM
136301,Brinsworth Academy,Rotherham,South Yorkshire,S605EJ,44.4,2022-2023,Rotherham 025E,ROTHERHAM
143545,Clifton Community School,Rotherham,South Yorkshire,S652SN,35.8,2022-2023,Rotherham 014E,ROTHERHAM
141730,Dinnington High School,Rotherham,South Yorkshire,S252NZ,37.1,2022-2023,Rotherham 029E,ROTHERHAM
149188,Elements Academy,Rotherham,South Yorkshire,S252NF,7.2,2022-2023,Rotherham 029E,ROTHERHAM
136042,Maltby Academy,Rotherham,South Yorkshire,S668AB,42.5,2022-2023,Rotherham 018F,ROTHERHAM
106966,Newman School,Rotherham,South Yorkshire,S603LX,4.1,2022-2023,Rotherham 023F,ROTHERHAM
140459,Oakwood High School,Rotherham,South Yorkshire,S602UH,47.6,2022-2023,Rotherham 023B,ROTHERHAM
140553,Rawmarsh Community School,Rotherham,South Yorkshire,S627GA,37.8,2022-2023,Rotherham 005D,ROTHERHAM
138329,St Bernard's Catholic High School,Rotherham,South Yorkshire,S653BE,49,2022-2023,Rotherham 021C,ROTHERHAM
106962,Saint Pius X Catholic High School A Specialist School in Humanities,Rotherham,South Yorkshire,S637PQ,42.8,2022-2023,Rotherham 002A,ROTHERHAM
143141,Swinton Academy,Rotherham,South Yorkshire,S648JW,41.1,2022-2023,Rotherham 003D,ROTHERHAM
148547,Thrybergh Academy,Rotherham,South Yorkshire,S654BP,34.1,2022-2023,Rotherham 010B,ROTHERHAM
136331,Wales High School,Rotherham,South Yorkshire,S265QQ,46.7,2022-2023,Rotherham 031C,ROTHERHAM
145848,Wath Academy,Rotherham,South Yorkshire,S637NW,50.2,2022-2023,Rotherham 002E,ROTHERHAM
140646,Wickersley School and Sports College,Rotherham,South Yorkshire,S661JL,48.3,2022-2023,Rotherham 022B,ROTHERHAM
139992,Wingfield Academy,Rotherham,South Yorkshire,S614AU,52.6,2022-2023,Rotherham 009C,ROTHERHAM
141853,Winterhill School,Rotherham,South Yorkshire,S612BD,41.2,2022-2023,Rotherham 015D,ROTHERHAM
138337,All Saints' Catholic High School,Sheffield,South Yorkshire,S22RJ,47.8,2022-2023,Sheffield 043A,SHEFFIELD
131122,Al-Mahad Al-Islami,Sheffield,South Yorkshire,S95FP,33.5,2022-2023,Sheffield 027D,SHEFFIELD
145864,Astrea Academy Sheffield,Sheffield,South Yorkshire,S39BE,44.5,2022-2023,Sheffield 022B,SHEFFIELD
107169,Bents Green School,Sheffield,South Yorkshire,S117TB,6.7,2022-2023,Sheffield 055F,SHEFFIELD
107168,Bethany School,Sheffield,South Yorkshire,S37PS,56.4,2022-2023,Sheffield 026A,SHEFFIELD
107163,Birkdale School,Sheffield,South Yorkshire,S103DH,69.1,2022-2023,Sheffield 036A,SHEFFIELD
143963,The Birley Academy,Sheffield,South Yorkshire,S123BP,37.7,2022-2023,Sheffield 076D,SHEFFIELD
147788,Bradfield School,Sheffield,South Yorkshire,S350AE,46.8,2022-2023,Sheffield 008A,SHEFFIELD
138414,Chaucer School,Sheffield,South Yorkshire,S58NH,30.4,2022-2023,Sheffield 009E,SHEFFIELD
145191,Ecclesfield School,Sheffield,South Yorkshire,S359WD,41.5,2022-2023,Sheffield 004D,SHEFFIELD
138925,Fir Vale School,Sheffield,South Yorkshire,S48GB,26.8,2022-2023,Sheffield 022D,SHEFFIELD
139334,Firth Park Academy,Sheffield,South Yorkshire,S50SD,38.8,2022-2023,Sheffield 010B,SHEFFIELD
140547,Forge Valley School,Sheffield,South Yorkshire,S65HG,48.2,2022-2023,Sheffield 021E,SHEFFIELD
141495,Handsworth Grange Community Sports College,Sheffield,South Yorkshire,S139HJ,41.7,2022-2023,Sheffield 037C,SHEFFIELD
126705,Heritage Park School,Sheffield,South Yorkshire,S22RU,1.6,2022-2023,Sheffield 043A,SHEFFIELD
145455,High Storrs School,Sheffield,South Yorkshire,S117LH,60.3,2022-2023,Sheffield 047F,SHEFFIELD
139856,Hinde House 2-16 Academy,Sheffield,South Yorkshire,S56AG,41.5,2022-2023,Sheffield 014B,SHEFFIELD
126712,Holgate Meadows School,Sheffield,South Yorkshire,S57WE,8.8,2022-2023,Sheffield 011E,SHEFFIELD
138841,King Ecgbert School,Sheffield,South Yorkshire,S173QU,54,2022-2023,Sheffield 068C,SHEFFIELD
107140,King Edward VII School,Sheffield,South Yorkshire,S102PW,50.2,2022-2023,Sheffield 036B,SHEFFIELD
138545,Meadowhead School Academy Trust,Sheffield,South Yorkshire,S88BR,45.7,2022-2023,Sheffield 064F,SHEFFIELD
145897,Mercia School,Sheffield,South Yorkshire,S72DY,70.1,2022-2023,Sheffield 050C,SHEFFIELD
140821,Newfield Secondary School,Sheffield,South Yorkshire,S89JP,43.9,2022-2023,Sheffield 064A,SHEFFIELD
138361,Notre Dame High School,Sheffield,South Yorkshire,S103BT,55.4,2022-2023,Sheffield 038C,SHEFFIELD
140394,Oasis Academy Don Valley,Sheffield,South Yorkshire,S93TY,37.5,2022-2023,Sheffield 022G,SHEFFIELD
140415,Outwood Academy City,Sheffield,South Yorkshire,S138SS,41.4,2022-2023,Sheffield 045B,SHEFFIELD
135934,E-Act Parkwood Academy,Sheffield,South Yorkshire,S58UL,37.4,2022-2023,Sheffield 019D,SHEFFIELD
142912,Phoenix School of Therapeutic Education,Sheffield,South Yorkshire,S23PX,2.9,2022-2023,Sheffield 043B,SHEFFIELD
107166,Sheffield High School,Sheffield,South Yorkshire,S102PE,19,2022-2023,Sheffield 036A,SHEFFIELD
131895,Sheffield Park Academy,Sheffield,South Yorkshire,S21SN,34.3,2022-2023,Sheffield 039E,SHEFFIELD
131896,Sheffield Springs Academy,Sheffield,South Yorkshire,S122SF,33.6,2022-2023,Sheffield 054C,SHEFFIELD
